origin,destination,distance
AE,DO,12342.595
AE,DZ,5214.115
AE,EC,14323.079
AE,EE,4525.435
AE,EG,2347.277
AE,EH,6718.558
AE,ER,1735.793
AE,ES,5648.238
AE,ET,2130.684
AE,FI,4778.099
AE,FJ,14308.428
AE,FK,13622.942
AE,FM,10357.032
AE,FO,6206.722
AE,FR,5234.379
AE,GA,5298.097
AE,GB,5836.553
AE,GD,11954.791
AE,GE,2313.455
AE,GF,11551.448
AE,GG,5649.74
AE,GH,6082.141
AE,GI,5795.886
AE,GL,7762.894
AE,GM,7316.472
AE,GN,6880.855
AE,GP,11731.546
AE,GQ,5279.176
AE,GR,3479.542
AE,GS,12095.22
AE,GT,14162.707
AE,GU,9512.058
AE,GW,7366.385
AE,GY,12084.748
AE,HK,6125.703
AE,HM,8717.442
AE,HN,13910.32
AE,HR,4231.295
AE,HT,12507.764
AE,HU,4028.878
AE,ID,7017.687
AE,IE,6103.15
AE,IL,2056.55
AE,IM,5879.016
AE,IN,2604.883
AE,IO,3845.812
AE,IQ,1474.046
AE,IR,1001.303
AE,IS,6857.271
AE,IT,4319.709
AE,JE,5613.364
AE,JM,12983.242
AE,JO,1914.576
AE,JP,8019.553
AE,KE,3124.46
AE,KG,2773.453
AE,KH,5513.166
AE,KI,14928.297
AE,KM,4072.364
AE,KN,11775.611
AE,KP,7004.696
AE,KR,7111.935
AE,KW,911.119
AE,KY,13142.87
AE,KZ,2969.136
AE,LA,5020.72
AE,LB,2098.567
AE,LC,11805.064
AE,LI,4719.989
AE,LK,3350.534
AE,LR,7001.45
AE,LS,6501.6
AE,LT,4304.224
AE,LU,5049.271
AE,LV,4404.351
AE,LY,3696.04
AE,MA,6000.82
AE,MC,4776.859
AE,MD,3495.24
AE,ME,3820.935
AE,MF,11757.644
AE,MG,4752.169
AE,MH,12413.713
AE,MK,3592.886
AE,ML,6021.81
AE,MM,4308.481
AE,MN,5126.261
AE,MO,6074.371
AE,MP,9401.845
AE,MQ,11768.613
AE,MR,6617.203
AE,MS,11757.004
AE,MT,4026.927
AE,MU,4883.809
AE,MV,3065.014
AE,MW,4599.428
AE,MX,14194.919
AE,MY,5582.929
AE,MZ,5084.923
AE,NA,6418.496
AE,NC,13051.145
AE,NE,4790.626
AE,NF,13496.276
AE,NG,5053.949
AE,NI,14005.758
