origin,destination,distance
AE,MP,9401.844938
AE,MQ,11768.61275
AE,MR,6617.202857
AE,MS,11757.00408
AE,MT,4026.926587
AE,MU,4883.808693
AE,MV,3065.013761
AE,MW,4599.428448
AE,MX,14194.91907
AE,MY,5582.929101
AE,MZ,5084.922796
AE,NA,6418.496373
AE,NC,13051.14545
AE,NE,4790.626004
AE,NF,13496.27573
AE,NG,5053.948824
AE,NI,14005.75839
AE,NL,5185.700372
AE,NO,5385.000675
AE,NP,3069.827738
AE,NR,12376.8451
AE,NU,15475.08693
AE,NZ,14250.97064
AE,OM,301.0805068
AE,PA,13937.46345
AE,PE,14364.90023
AE,PF,17514.435
AE,PG,10297.14972
AE,PH,7212.561747
AE,PK,1717.844799
AE,PL,4326.07316
AE,PM,9529.430168
AE,PN,19821.90296
AE,PR,12064.25032
AE,PS,2059.305441
AE,PT,6031.020572
AE,PW,8734.705313
AE,PY,13178.94058
AE,QA,344.7612762
AE,RE,4955.910321
AE,RO,3601.950488
AE,RU,5731.047381
AE,RW,3832.159356
AE,SA,894.4372689
AE,SB,12087.01108
AE,SC,3130.071678
AE,SD,2753.461432
AE,SE,4903.519307
AE,SG,5912.788647
AE,SH,8685.315563
AE,SI,4290.049137
AE,SK,4099.629861
AE,SL,7154.329458
AE,SM,4393.095308
AE,SN,7189.880423
AE,SO,2190.942287
AE,SR,11842.55018
AE,ST,5711.759894
AE,SV,14223.53856
AE,SY,1914.709124
AE,SZ,6052.702289
AE,TC,12285.09046
AE,TD,3776.815697
AE,TF,8229.14847
AE,TG,5865.732865
AE,TH,4986.542533
AE,TJ,2378.394743
AE,TK,14902.67369
AE,TM,1810.794084
AE,TN,4441.167868
AE,TO,14987.2753
AE,TP,14987.2753
AE,TR,2463.610032
AE,TT,12004.29567
AE,TV,13761.72416
AE,TW,6770.206312
AE,TZ,3900.671521
AE,UA,3418.077643
AE,UG,3378.180616
AE,US,12569.09716
AE,UY,13149.64804
AE,UZ,2232.089255
AE,VC,11885.14935
AE,VE,12751.16174
AE,VG,11879.53814
AE,VN,5792.780956
AE,VU,13000.50683
AE,WF,14561.22822
AE,WS,15075.5501
AE,YE,1038.122113
AE,YU,4140.16409
AE,ZA,6848.361254
AE,ZM,4952.005597
AE,ZR,4952.005597
AE,ZW,5426.527372
AF,AD,5705.717586
AF,AE,1784.342012
AF,AF,0
AF,AG,12222.86644
AF,AI,12218.58952
AF,AL,4214.130992
AF,AM,2118.480131
AF,AN,13143.12598
AF,AO,7271.11452
AF,AR,15668.57238
AF,AT,4626.700168
AF,AU,9586.839589
AF,AW,13181.09463
AF,AZ,1910.119235
AF,BA,4396.954648
AF,BB,12364.14513
AF,BD,2475.603873
AF,BE,5343.487004
AF,BF,7348.767951
AF,BG,3768.24707
AF,BH,1866.958044
AF,BI,5733.724584
AF,BJ,7167.292216
AF,BM,11127.2272
AF,BN,5843.879276
AF,BO,14790.40645
AF,BR,13603.46186
AF,BS,12492.95105
AF,BT,2280.703996
AF,BW,7736.804767
AF,BY,3797.991722
AF,BZ,13795.99864
AF,CA,9983.984614
AF,CC,5982.576401
AF,CF,6598.710019
AF,CG,6598.710019
AF,CH,5108.329077
AF,CI,7998.153594
AF,CK,15172.65408
AF,CL,16316.58507
AF,CM,6378.178926
AF,CN,3314.965401
AF,CO,14165.23176
AF,CR,14298.82885
AF,CU,12847.62279
AF,CV,9177.40873
AF,CX,6359.277983
AF,CY,3127.396264
AF,CZ,4562.374064
AF,DE,4920.625734
AF,DJ,3539.076098
AF,DK,5004.427831
AF,DM,12325.0888
AF,DO,12652.72399
AF,DZ,6223.290569
AF,EC,14987.16506
AF,EE,4160.429868
AF,EG,3607.516176
AF,EH,7711.526135
AF,ER,3490.581288
AF,ES,6197.354056
AF,ET,3914.441502
AF,FI,4277.470456
AF,FJ,13005.29264
AF,FK,15402.70931
AF,FM,8888.910013
AF,FO,5938.641017
AF,FR,5572.980959
AF,GA,6999.204584
AF,GB,5813.537353
AF,GD,12594.98361
AF,GE,2314.26329
AF,GF,12531.94472
AF,GH,7557.082376
AF,GI,6489.744191
AF,GL,7107.104272
AF,GM,8543.032305
AF,GN,8235.335224
AF,GP,12247.76139
AF,GQ,6945.244255
AF,GR,4097.095431
AF,GT,14012.61769
AF,GW,8628.832542
AF,GY,12952.99976
AF,HK,4683.904751
AF,HN,13894.13191
AF,HR,4586.283231
AF,HT,12765.29038
AF,HU,4253.039889
AF,ID,6171.678999
AF,IE,6156.563553
AF,IL,3085.359176
AF,IN,1851.549693
AF,IQ,2222.46739
AF,IR,1314.617143
AF,IS,6479.663419
AF,IT,4833.629651
AF,JM,13142.48021
AF,JO,2970.952514
AF,JP,6276.149437
AF,KE,4889.55901
AF,KG,1018.696894
AF,KH,4450.514139
AF,KI,13274.53184
AF,KM,5683.965517
AF,KN,12269.48884
AF,KP,5247.93656
AF,KR,5391.032151
AF,KW,1979.415406
AF,KY,13187.48377
AF,KZ,1567.043777
AF,LA,3763.949247
AF,LB,2927.432583
AF,LC,12416.56444
AF,LK,3192.900476
AF,LR,8423.999843
AF,LS,8193.547409
AF,LT,4098.413049
AF,LU,5232.189426
AF,LV,4115.084018
AF,LY,4879.130808
AF,MA,6825.191857
AF,MD,3591.626482
AF,MG,6262.840693
AF,MH,10790.00061
AF,MK,4079.296293
AF,ML,7268.448844
AF,MM,3066.234156
AF,MN,3342.081071
AF,MO,4641.649689
AF,MP,7828.682894
AF,MQ,12361.45789
AF,MR,7712.019736
AF,MS,12277.10158
AF,MT,4805.330656
AF,MU,6131.655734
AF,MV,3465.150547
AF,MW,6327.047222
AF,MX,13530.88417
AF,MY,4842.505462
AF,MZ,6770.124398
AF,NA,8191.568667
AF,NC,11987.7894
AF,NE,6153.531775
AF,NF,12629.48678
AF,NG,6600.560603
AF,NI,14073.93555
AF,NL,5273.549221
AF,NO,5112.743734
AF,NP,1676.468136
AF,NR,10889.80707
AF,NU,14128.94223
AF,NZ,13723.38439
AF,OM,1801.248982
AF,PA,14240.45029
AF,PE,15323.21681
AF,PF,15913.90919
AF,PG,9147.103167
AF,PH,5915.00505
AF,PK,425.1011248
AF,PL,4326.989705
AF,PM,9424.719062
AF,PN,18226.35031
AF,PR,12462.04671
AF,PS,3025.987753
AF,PT,6596.540598
AF,PW,7412.989281
AF,PY,14695.1346
AF,QA,1856.857247
AF,RE,6256.038529
AF,RO,3827.405194
AF,RU,4055.724945
AF,RW,5616.49858
AF,SA,2462.315898
AF,SB,10828.21557
AF,SC,4481.945781
AF,SD,4447.940644
AF,SE,4557.513053
AF,SG,5215.364682
AF,SH,10438.61919
AF,SI,4596.790348
AF,SK,4248.481747
AF,SL,8516.996526
AF,SM,4813.467107
AF,SN,8402.338106
AF,SO,3894.986219
AF,SR,12779.78151
AF,ST,7366.294787
AF,SV,14158.03803
AF,SY,2628.070853
AF,SZ,7733.729929
AF,TC,12489.99101
AF,TD,5298.814427
AF,TF,9255.003451
AF,TG,7346.16476
AF,TH,3884.74088
AF,TJ,633.4211783
AF,TK,13359.12041
AF,TM,918.4124026
AF,TN,5291.253348
AF,TO,13748.47846
AF,TP,13748.47846
AF,TR,2940.944935
AF,TT,12689.99955
AF,TV,12284.61303
AF,TW,5252.935002
AF,TZ,5657.512076
AF,UA,3410.943023
AF,UG,5162.455003
AF,US,11932.5682
AF,UY,14824.01324
AF,UZ,871.4749888
AF,VC,12513.54331
AF,VE,13441.83689
AF,VG,12311.68796
AF,VN,4633.67703
AF,VU,11793.15319
AF,WF,13161.89156
AF,WS,13626.345
AF,YE,2806.656386
AF,YU,5721.286565
AF,ZA,8572.845417
AF,ZM,6720.818763
AF,ZR,6720.818763
AF,ZW,7165.335685
AG,AD,6569.940072
AG,AE,11703.11905
AG,AF,12222.86644
AG,AG,0
AG,AI,186.5540085
AG,AL,8108.456306
AG,AM,10154.21889
AG,AN,948.2518965
AG,AO,9297.904657
AG,AR,6171.673524
AG,AT,7601.300736
AG,AU,18162.34761
AG,AW,1012.974486
AG,AZ,10347.12337
AG,BA,7869.805514
AG,BB,493.3120299
AG,BD,14567.97955
AG,BE,6882.164583
AG,BF,6478.664427
AG,BG,8513.356413
AG,BH,11289.14483
AG,BI,10299.61936
AG,BJ,6966.887421
AG,BM,1722.81054
AG,BN,17583.54469
AG,BO,3713.657365
AG,BR,3644.700268
AG,BS,1843.54872
AG,BT,14225.01683
AG,BW,10372.08678
AG,BY,8470.327296
AG,BZ,2835.166352
AG,CA,5720.316286
AG,CC,17657.693
AG,CF,8700.468409
AG,CG,8700.468409
AG,CH,7123.168828
AG,CI,6181.905015
AG,CK,11486.0829
AG,CL,5953.230017
AG,CM,8089.315985
AG,CN,13948.32477
AG,CO,1945.382414
AG,CR,2507.762847
AG,CU,1748.287984
AG,CV,4023.135352
AG,CX,18477.39447
AG,CY,9384.823763
AG,CZ,7660.798821
AG,DE,7306.891534
AG,DJ,11111.21002
AG,DK,7286.581152
AG,DM,188.558377
AG,DO,904.5240302
AG,DZ,6560.912428
AG,EC,2764.637766
AG,EE,8211.910486
AG,EG,9409.768885
AG,EH,5126.402862
AG,ER,10699.30542
AG,ES,6102.154885
AG,ET,10993.9803
AG,FI,8211.843136
AG,FJ,13528.64524
AG,FK,7659.733566
AG,FM,15536.74411
AG,FO,6539.478762
AG,FR,6659.442734
AG,GA,8273.163467
AG,GB,6476.017838
AG,GD,533.9181404
AG,GE,9926.483279
AG,GF,1739.214371
AG,GH,6650.644797
AG,GI,5910.203045
AG,GL,6205.721915
AG,GM,4992.103317
AG,GN,5672.7295
AG,GP,29.72322729
AG,GQ,8048.124818
AG,GR,8283.013638
AG,GT,3033.471821
AG,GW,5042.576579
AG,GY,1392.091029
AG,HK,15605.07805
AG,HN,2617.693711
AG,HR,7663.648175
AG,HT,1129.062971
AG,HU,7976.258087
AG,ID,18146.05361
AG,IE,6111.696851
AG,IL,9647.480463
AG,IN,14027.26103
AG,IQ,10343.09838
AG,IR,11224.57292
AG,IS,6199.252209
AG,IT,7471.058154
AG,JM,1646.737645
AG,JO,9789.31387
AG,JP,13728.14427
AG,KE,11039.29811
AG,KG,12143.40086
AG,KH,16415.20423
AG,KI,11917.21922
AG,KM,12035.98986
AG,KN,109.8709801
AG,KP,13560.15096
AG,KR,14039.79941
AG,KW,10848.3178
AG,KY,1999.38104
AG,KZ,11172.82415
AG,LA,15566.1086
AG,LB,9640.136203
AG,LC,361.1982458
AG,LK,15053.65235
AG,LR,5804.362836
AG,LS,10937.15715
AG,LT,8186.370913
AG,LU,6991.219891
AG,LV,8209.304956
AG,LY,8111.248564
AG,MA,5713.878682
AG,MD,8632.717511
AG,MG,12519.07103
AG,MH,13601.83673
AG,MK,8231.18898
AG,ML,6110.683392
AG,MM,15050.10514
AG,MN,12763.12647
AG,MO,15620.25263
AG,MP,15169.2394
AG,MQ,281.4074368
AG,MR,5342.235434
AG,MS,54.61475195
AG,MT,7680.485366
AG,MU,13651.88744
AG,MV,14589.23547
AG,MW,11070.78718
AG,MX,4297.070646
AG,MY,17053.50623
AG,MZ,11351.50242
AG,NA,9790.375245
AG,NC,15028.51382
AG,NE,7370.323086
AG,NF,14792.75247
AG,NG,7648.557402
AG,NI,2555.958638
AG,NL,6961.716875
AG,NO,7285.502552
AG,NP,13771.57362
AG,NR,14376.49245
AG,NU,12463.92299
AG,NZ,14020.09752
AG,OM,11989.60759
AG,PA,2263.894545
AG,PE,3260.708345
AG,PF,10333.39486
AG,PG,16972.20372
AG,PH,16662.83245
AG,PK,12589.58716
AG,PL,7906.955164
AG,PM,3361.206529
AG,PN,8492.44158
AG,PR,524.0682056
AG,PS,9650.623688
AG,PT,5707.194403
AG,PW,16742.51615
AG,PY,4518.468184
AG,QA,11366.22101
AG,RE,13455.5754
AG,RO,8408.39226
AG,RU,11202.34279
AG,RW,10248.31694
AG,SA,10869.96586
AG,SB,15411.29712
AG,SC,13058.36707
AG,SD,9800.080797
AG,SE,7841.40768
AG,SG,17430.69584
AG,SH,7246.853564
AG,SI,7641.469519
AG,SK,7974.80958
AG,SL,5493.064309
AG,SM,7452.427535
AG,SN,5062.172334
AG,SO,11734.8834
AG,SR,1590.969132
AG,ST,7710.882563
AG,SV,2925.013345
AG,SY,9877.271624
AG,SZ,11158.59339
AG,TC,1168.305719
AG,TD,8530.263521
AG,TF,14371.91755
AG,TG,6827.751757
AG,TH,15895.74696
AG,TJ,12111.63821
AG,TK,12419.63171
AG,TM,11304.77215
AG,TN,7263.074432
AG,TO,13053.19504
AG,TP,13053.19504
AG,TR,9411.692442
AG,TT,710.9034609
AG,TV,13480.7814
AG,TW,15473.05606
AG,TZ,10922.70281
AG,UA,8812.270028
AG,UG,10396.91808
AG,US,3994.905034
AG,UY,5550.680193
AG,UZ,11496.39604
AG,VC,456.5724148
AG,VE,1292.443308
AG,VG,336.9711429
AG,VN,16387.29013
AG,VU,14819.45224
AG,WF,13106.87454
AG,WS,12574.18827
AG,YE,11558.5674
AG,YU,12198.0193
AG,ZA,10476.95375
AG,ZM,10395.8386
AG,ZR,10395.8386
AG,ZW,10713.60551
AI,AD,6591.823599
AI,AE,11751.02958
AI,AF,12218.58952
AI,AG,186.5540085
AI,AI,0
AI,AL,8133.098552
AI,AM,10164.53669
AI,AN,925.7734804
AI,AO,9459.367217
AI,AR,6297.967966
AI,AT,7605.62249
AI,AU,18109.07987
AI,AW,973.8065876
AI,AZ,10354.51022
AI,BA,7885.957475
AI,BB,674.3185616
AI,BD,14535.26055
AI,BE,6875.113396
AI,BF,6604.437492
AI,BG,8530.414036
AI,BH,11334.10784
AI,BI,10439.9311
AI,BJ,7097.793448
AI,BM,1577.03197
AI,BN,17473.2442
AI,BO,3837.837921
AI,BR,3810.009229
AI,BS,1661.938936
AI,BT,14183.17266
AI,BW,10545.56726
AI,BY,8450.312963
AI,BZ,2693.95777
AI,CA,5541.236111
AI,CC,17761.4456
AI,CF,8843.571953
AI,CG,8843.571953
AI,CH,7130.156457
AI,CI,6322.61897
AI,CK,11399.12888
AI,CL,6059.10945
AI,CM,8218.14
AI,CN,13853.65047
AI,CO,1947.709675
AI,CR,2419.634403
AI,CU,1580.972125
AI,CV,4150.27166
AI,CX,18528.26281
AI,CY,9420.685075
AI,CZ,7656.982593
AI,DE,7298.407435
AI,DJ,11205.06893
AI,DK,7259.863927
AI,DM,360.5044272
AI,DO,750.2912569
AI,DZ,6635.705735
AI,EC,2776.373889
AI,EE,8176.683691
AI,EG,9472.707776
AI,EH,5217.735791
AI,ER,10786.88252
AI,ES,6130.617133
AI,ET,11096.90019
AI,FI,8165.532749
AI,FJ,13415.85432
AI,FK,7793.132251
AI,FM,15352.44977
AI,FO,6486.00893
AI,FR,6667.656764
AI,GA,8420.192169
AI,GB,6447.696401
AI,GD,680.8298442
AI,GE,9931.805827
AI,GF,1921.966056
AI,GH,6787.19475
AI,GI,5955.155026
AI,GL,6095.306521
AI,GM,5123.044479
AI,GN,5810.155255
AI,GP,172.6143636
AI,GQ,8191.081474
AI,GR,8313.813007
AI,GT,2898.34479
AI,GW,5178.518435
AI,GY,1552.156256
AI,HK,15488.27257
AI,HN,2488.928495
AI,HR,7676.291805
AI,HT,974.7976521
AI,HU,7980.848571
AI,ID,18049.13985
AI,IE,6087.371612
AI,IL,9694.480622
AI,IN,14035.83612
AI,IQ,10375.07914
AI,IR,11246.72211
AI,IS,6126.22805
AI,IT,7495.406269
AI,JM,1503.001274
AI,JO,9836.453862
AI,JP,13561.14979
AI,KE,11166.82889
AI,KG,12107.8377
AI,KH,16349.78255
AI,KI,11778.59223
AI,KM,12185.21047
AI,KN,100.5848522
AI,KP,13411.9777
AI,KR,13889.09526
AI,KW,10887.41745
AI,KY,1845.98558
AI,KZ,11133.98536
AI,LA,15497.6998
AI,LB,9677.823005
AI,LC,528.799216
AI,LK,15099.59023
AI,LR,5950.629423
AI,LS,11116.97254
AI,LT,8162.793874
AI,LU,6987.053967
AI,LV,8179.856313
AI,LY,8184.982929
AI,MA,5775.569228
AI,MD,8633.092549
AI,MG,12679.97341
AI,MH,13430.57005
AI,MK,8253.675142
AI,ML,6222.255108
AI,MM,15002.60343
AI,MN,12660.2248
AI,MO,15505.58754
AI,MP,14983.97413
AI,MQ,453.7670538
AI,MR,5445.207029
AI,MS,189.0679207
AI,MT,7724.704426
AI,MU,13812.45014
AI,MV,14668.50077
AI,MW,11227.31533
AI,MX,4131.889773
AI,MY,17030.33187
AI,MZ,11516.30005
AI,NA,9966.594849
AI,NC,14924.13582
AI,NE,7475.213399
AI,NF,14720.73586
AI,NG,7775.760753
AI,NI,2443.209045
AI,NL,6948.924227
AI,NO,7243.852814
AI,NP,13745.39352
AI,NR,14214.55947
AI,NU,12364.3988
AI,NZ,13993.85018
AI,OM,12040.12465
AI,PA,2195.258112
AI,PE,3318.007985
AI,PF,10244.34075
AI,PG,16800.80534
AI,PH,16516.3389
AI,PK,12591.89801
AI,PL,7895.368128
AI,PM,3253.594768
AI,PN,8446.472036
AI,PR,371.9370143
AI,PS,9694.580019
AI,PT,5738.067619
AI,PW,16559.46529
AI,PY,4659.849436
AI,QA,11412.13732
AI,RE,13618.12461
AI,RO,8415.15977
AI,RU,11087.92717
AI,RW,10385.68328
AI,SA,10927.5586
AI,SB,15265.44224
AI,SC,13183.51006
AI,SD,9902.269345
AI,SE,7801.884987
AI,SG,17408.43272
AI,SH,7432.370484
AI,SI,7650.493477
AI,SK,7974.217152
AI,SL,5635.962827
AI,SM,7469.537402
AI,SN,5189.190498
AI,SO,11842.82436
AI,SR,1765.138033
AI,ST,7859.282384
AI,SV,2801.480919
AI,SY,9909.271691
AI,SZ,11334.75352
AI,TC,990.47519
AI,TD,8634.278722
AI,TF,14557.1636
AI,TG,6961.378719
AI,TH,15841.86583
AI,TJ,12088.12477
AI,TK,12291.79009
AI,TM,11300.18495
AI,TN,7315.722977
AI,TO,12957.15447
AI,TP,12957.15447
AI,TR,9434.325061
AI,TT,860.3950723
AI,TV,13341.2735
AI,TW,15333.51387
AI,TZ,11065.97927
AI,UA,8808.05503
AI,UG,10525.38665
AI,US,3808.665469
AI,UY,5695.673715
AI,UZ,11477.77184
AI,VC,612.6783782
AI,VE,1366.160658
AI,VG,167.355681
AI,VN,16302.56759
AI,VU,14696.11636
AI,WF,12988.05166
AI,WS,12458.49394
AI,YE,11635.82977
AI,YU,12348.48455
AI,ZA,10658.5562
AI,ZM,10555.281
AI,ZR,10555.281
