subdivision,period,Bioenergy,Hydro,Solar,Wind
US-MO,2019-06,0.0162,0.5943,0.0251,0.3644
US-MS,2019-06,0.7881,0,0.2119,0
US-MT,2019-06,0.0017,0.8404,0.003,0.1549
US-NC,2019-06,0.1354,0.3718,0.469,0.0239
US-ND,2019-06,0,0.3041,0,0.6959
US-NE,2019-06,0.0103,0.2203,0.0065,0.7628
US-NH,2019-06,0.3446,0.5483,0,0.1071
US-NJ,2019-06,0.3413,0,0.6502,0.0085
US-NM,2019-06,0.0026,0.0221,0.2257,0.7496
US-NV,2019-06,0.0062,0.267,0.6929,0.0339
US-NY,2019-06,0.0568,0.8193,0.0174,0.1065
US-OH,2019-06,0.2185,0.1217,0.0557,0.6041
US-OK,2019-06,0.0103,0.1274,0.0029,0.8594
US-OR,2019-06,0.0167,0.7143,0.0216,0.2474
US-PA,2019-06,0.2517,0.3616,0.0133,0.3733
US-RI,2019-06,0.5027,0.0058,0.1427,0.3488
US-SC,2019-06,0.4312,0.3973,0.1715,0
US-SD,2019-06,0,0.8204,0.0003,0.1793
US-TN,2019-06,0.0646,0.8978,0.0348,0.0028
US-TX,2019-06,0.0167,0.0163,0.0681,0.8989
US-UT,2019-06,0.0154,0.2087,0.6156,0.1604
US-VA,2019-06,0.7116,0.0882,0.2001,0
US-VT,2019-06,0.097,0.6831,0.0872,0.1326
US-WA,2019-06,0.0139,0.8726,0.0007,0.1128
US-WI,2019-06,0.2362,0.45,0.009,0.3049
US-WV,2019-06,0,0.5386,0,0.4614
US-WY,2019-06,0,0.2226,0.0538,0.7236
CA-AB,2019-07,0.4362,0.36,0.0025,0.2012
CA-BC,2019-07,0.0135,0.9567,0.0001,0.0297
CA-MB,2019-07,0.0003,0.9788,0,0.021
CA-NB,2019-07,0.159,0.6289,0,0.212
CA-NL,2019-07,0.0011,0.9958,0,0.0031
CA-NS,2019-07,0.2427,0.4441,0,0.3132
CA-NT,2019-07,0.1289,0.8189,0.0015,0.0507
CA-NU,2019-07,1,0,0,0
CA-ON,2019-07,0.0431,0.7479,0.0808,0.1282
CA-PE,2019-07,0.0012,0,0.0026,0.9962
CA-QC,2019-07,0.0009,0.9594,0,0.0398
CA-SK,2019-07,0.2157,0.7019,0,0.0825
CA-YT,2019-07,0.0047,0.9953,0,0
US-AK,2019-07,0.0217,0.9083,0,0.07
US-AL,2019-07,0.256,0.7095,0.0345,0
US-AR,2019-07,0.1883,0.7738,0.0379,0
US-AZ,2019-07,0.0141,0.537,0.4161,0.0327
US-CA,2019-07,0.0546,0.4333,0.342,0.1701
US-CO,2019-07,0.0114,0.145,0.1101,0.7335
US-CT,2019-07,0.6106,0.215,0.1689,0.0055
US-DC,2019-07,0.8324,0,0.1676,0
US-DE,2019-07,0.483,0,0.5034,0.0136
US-FL,2019-07,0.5097,0.0178,0.4726,0
US-GA,2019-07,0.5638,0.1904,0.2458,0
US-HI,2019-07,0.2575,0.0931,0.2436,0.4058
US-IA,2019-07,0.0103,0.0337,0.0012,0.9548
US-ID,2019-07,0.0343,0.78,0.0456,0.1401
US-IL,2019-07,0.0473,0.0159,0.0112,0.9255
US-IN,2019-07,0.1059,0.0592,0.1196,0.7153
US-KS,2019-07,0.0031,0,0.001,0.9958
US-KY,2019-07,0.0665,0.9217,0.0118,0
US-LA,2019-07,0.5343,0.4652,0.0005,0
US-MA,2019-07,0.3387,0.0004,0.6214,0.0395
US-MD,2019-07,0.1442,0.4895,0.2139,0.1524
US-ME,2019-07,0.389,0.379,0.0018,0.2302
US-MI,2019-07,0.3888,0.0571,0.036,0.518
US-MN,2019-07,0.1062,0.0795,0.1761,0.6382
US-MO,2019-07,0.0294,0.4541,0.0341,0.4824
US-MS,2019-07,0.7951,0,0.2049,0
US-MT,2019-07,0.0015,0.8579,0.0026,0.1381
US-NC,2019-07,0.1432,0.2279,0.6095,0.0194
US-ND,2019-07,0,0.2629,0,0.7371
US-NE,2019-07,0.0103,0.1619,0.007,0.8207
US-NH,2019-07,0.5169,0.3862,0,0.0968
US-NJ,2019-07,0.3209,0,0.6736,0.0055
US-NM,2019-07,0.0028,0.0255,0.2229,0.7488
US-NV,2019-07,0.0061,0.2868,0.6735,0.0335
US-NY,2019-07,0.0551,0.8483,0.0203,0.0762
US-OH,2019-07,0.286,0.1655,0.0993,0.4492
US-OK,2019-07,0.0102,0.1771,0.0027,0.81
US-OR,2019-07,0.0302,0.6465,0.0266,0.2967
US-PA,2019-07,0.2929,0.4081,0.0163,0.2827
US-RI,2019-07,0.5427,0.0047,0.1814,0.2711
US-SC,2019-07,0.5051,0.2627,0.2322,0
US-SD,2019-07,0,0.7569,0.0003,0.2428
