country,period,Bioenergy,Hydro,Solar,Wind
SG,2026-07,0.0033,0.0212,0.9601,0.0154
SG,2026-08,0.0033,0.0212,0.9601,0.0154
SH,2019-01,,,,
SH,2019-02,,,,
SH,2019-03,,,,
SH,2019-04,,,,
SH,2019-05,,,,
SH,2019-06,,,,
SH,2019-07,,,,
SH,2019-08,,,,
SH,2019-09,,,,
SH,2019-10,,,,
SH,2019-11,,,,
SH,2019-12,,,,
SH,2020-01,,,,
SH,2020-02,,,,
SH,2020-03,,,,
SH,2020-04,,,,
SH,2020-05,,,,
SH,2020-06,,,,
SH,2020-07,,,,
SH,2020-08,,,,
SH,2020-09,,,,
SH,2020-10,,,,
SH,2020-11,,,,
SH,2020-12,,,,
SH,2021-01,,,,
SH,2021-02,,,,
SH,2021-03,,,,
SH,2021-04,,,,
SH,2021-05,,,,
SH,2021-06,,,,
SH,2021-07,,,,
SH,2021-08,,,,
SH,2021-09,,,,
SH,2021-10,,,,
SH,2021-11,,,,
SH,2021-12,,,,
SH,2022-01,,,,
SH,2022-02,,,,
SH,2022-03,,,,
SH,2022-04,,,,
SH,2022-05,,,,
SH,2022-06,,,,
SH,2022-07,,,,
SH,2022-08,,,,
SH,2022-09,,,,
SH,2022-10,,,,
SH,2022-11,,,,
SH,2022-12,,,,
SH,2023-01,,,,
SH,2023-02,,,,
SH,2023-03,,,,
SH,2023-04,,,,
SH,2023-05,,,,
SH,2023-06,,,,
SH,2023-07,,,,
SH,2023-08,,,,
SH,2023-09,,,,
SH,2023-10,,,,
SH,2023-11,,,,
SH,2023-12,,,,
SH,2024-01,,,,
SH,2024-02,,,,
SH,2024-03,,,,
SH,2024-04,,,,
SH,2024-05,,,,
SH,2024-06,,,,
SH,2024-07,,,,
SH,2024-08,,,,
SH,2024-09,,,,
SH,2024-10,,,,
SH,2024-11,,,,
SH,2024-12,,,,
SH,2025-01,,,,
SH,2025-02,,,,
SH,2025-03,,,,
SH,2025-04,,,,
SH,2025-05,,,,
SH,2025-06,,,,
SH,2025-07,,,,
SH,2025-08,,,,
SH,2025-09,,,,
SH,2025-10,,,,
SH,2025-11,,,,
SH,2025-12,,,,
SH,2026-01,,,,
SH,2026-02,,,,
SH,2026-03,,,,
SH,2026-04,,,,
SH,2026-05,,,,
SH,2026-06,,,,
SH,2026-07,,,,
SH,2026-08,,,,
SI,2019-01,0.0551,0.8471,0.0456,0.0522
SI,2019-02,0.0294,0.9117,0.0588,0
SI,2019-03,0.0382,0.8303,0.0987,0.0328
SI,2019-04,0.0243,0.9025,0.0732,0
SI,2019-05,0.0189,0.9434,0.0377,0
SI,2019-06,0,0.9298,0.0702,0
SI,2019-07,0.027,0.8648,0.1082,0
SI,2019-08,0.0311,0.8439,0.125,0
SI,2019-09,0.0343,0.8541,0.0952,0.0164
SI,2019-10,0.0573,0.7583,0.0802,0.1042
SI,2019-11,0.0165,0.967,0.0165,0
SI,2019-12,0.0191,0.9618,0.0191,0
SI,2020-01,0.0387,0.8801,0.0323,0.0489
SI,2020-02,0.0492,0.7916,0.0806,0.0785
SI,2020-03,0.0325,0.8552,0.0861,0.0263
SI,2020-04,0.0302,0.8487,0.1211,0
SI,2020-05,0.0208,0.896,0.0833,0
SI,2020-06,0.0192,0.9232,0.0576,0
SI,2020-07,0.0203,0.898,0.0817,0
SI,2020-08,0.0218,0.9129,0.0652,0
SI,2020-09,0.0203,0.9186,0.0611,0
SI,2020-10,0.0149,0.9553,0.0298,0
SI,2020-11,0.0262,0.9477,0.0262,0
SI,2020-12,0.0203,0.9594,0.0203,0
SI,2021-01,0.0221,0.9558,0.0221,0
SI,2021-02,0.0224,0.9332,0.0444,0
SI,2021-03,0.0271,0.8919,0.081,0
SI,2021-04,0.043,0.7867,0.0967,0.0736
SI,2021-05,0.014,0.9444,0.0417,0
SI,2021-06,0,0.9333,0.0667,0
SI,2021-07,0,0.913,0.087,0
SI,2021-08,0,0.9023,0.0977,0
SI,2021-09,0.0057,0.8519,0.1271,0.0153
SI,2021-10,0.0068,0.8832,0.0819,0.0281
SI,2021-11,0,0.9677,0.0323,0
SI,2021-12,0.0397,0.8601,0.0639,0.0363
SI,2022-01,0.0422,0.8438,0.0693,0.0447
SI,2022-02,0.0578,0.7637,0.1008,0.0777
SI,2022-03,0.0516,0.7787,0.1425,0.0272
SI,2022-04,0.033,0.8298,0.1264,0.0108
SI,2022-05,0.0256,0.8718,0.1026,0
SI,2022-06,0.0306,0.8142,0.146,0.0093
SI,2022-07,0.0396,0.7601,0.1933,0.007
SI,2022-08,0.0013,0.8126,0.1826,0.0035
SI,2022-09,0.0332,0.8613,0.0963,0.0092
SI,2022-10,0.0274,0.742,0.1032,0.1274
SI,2022-11,0.0295,0.7897,0.0477,0.1331
SI,2022-12,0.0061,0.8684,0.1015,0.024
SI,2023-01,0.0336,0.8977,0.0313,0.0374
SI,2023-02,0.0118,0.8233,0.1139,0.051
SI,2023-03,0.0309,0.8389,0.1182,0.0121
SI,2023-04,0.0249,0.8251,0.15,0
SI,2023-05,0.0167,0.8833,0.1,0
SI,2023-06,0.0188,0.8301,0.151,0
SI,2023-07,0.017,0.8305,0.1525,0
SI,2023-08,0,0.8621,0.1379,0
SI,2023-09,0,0.8373,0.1627,0
SI,2023-10,0.0102,0.7998,0.1361,0.0539
SI,2023-11,0.0035,0.9049,0.0727,0.0189
SI,2023-12,0,0.9401,0.0599,0
SI,2024-01,0.0219,0.9128,0.0653,0
SI,2024-02,0.0238,0.8571,0.1191,0
SI,2024-03,0.0184,0.8334,0.1482,0
SI,2024-04,0.0217,0.7229,0.216,0.0394
SI,2024-05,0.014,0.7917,0.1944,0
SI,2024-06,0.0135,0.7839,0.2027,0
SI,2024-07,0.0161,0.6936,0.2903,0
SI,2024-08,0.0226,0.591,0.3864,0
SI,2024-09,0.0186,0.7776,0.2037,0
SI,2024-10,0.0149,0.8957,0.0895,0
SI,2024-11,0.0279,0.861,0.1111,0
SI,2024-12,0.0346,0.8273,0.1381,0
SI,2025-01,0.0279,0.8888,0.0833,0
SI,2025-02,0.0351,0.7878,0.166,0.0111
SI,2025-03,0.0196,0.7647,0.2156,0
SI,2025-04,0.0182,0.7091,0.2727,0
SI,2025-05,0.0154,0.7076,0.2769,0
SI,2025-06,0.0173,0.569,0.4137,0
SI,2025-07,0.0197,0.5882,0.3922,0
SI,2025-08,0.0263,0.6317,0.3421,0
SI,2025-09,0.044,0.6192,0.3148,0.022
SI,2025-10,0.0524,0.5956,0.2528,0.0992
SI,2025-11,0.0455,0.8181,0.1364,0
SI,2025-12,0.0688,0.7933,0.138,0
SI,2026-01,0.0772,0.7191,0.1077,0.096
SI,2026-02,0.0525,0.7634,0.1842,0
SI,2026-03,0.0499,0.55,0.4001,0
SI,2026-04,0.0502,0.4491,0.4975,0.0031
SI,2026-05,0.037,0.5185,0.4444,0
SI,2026-06,0.017,0.5593,0.4237,0
SI,2026-07,0.017,0.5593,0.4237,0
SI,2026-08,0.017,0.5593,0.4237,0
SK,2019-01,0.148,0.7632,0.0429,0.0459
SK,2019-02,0.1275,0.7804,0.0654,0.0267
SK,2019-03,0.1029,0.8236,0.0735,0
SK,2019-04,0.133,0.7307,0.1024,0.0339
SK,2019-05,0.1078,0.8153,0.0769,0
SK,2019-06,0.0953,0.7737,0.1157,0.0153
SK,2019-07,0.1807,0.6236,0.1688,0.027
SK,2019-08,0.1941,0.644,0.15,0.012
SK,2019-09,0.097,0.6851,0.1568,0.061
SK,2019-10,0.1682,0.6505,0.1158,0.0655
SK,2019-11,0.179,0.7647,0.0454,0.011
SK,2019-12,0.208,0.7353,0.0247,0.032
SK,2020-01,0.2161,0.6878,0.0294,0.0668
SK,2020-02,0.1477,0.8032,0.0491,0
SK,2020-03,0.1188,0.7965,0.0847,0
SK,2020-04,0.1707,0.6586,0.1707,0
SK,2020-05,0.1861,0.6744,0.1395,0
SK,2020-06,0.1289,0.7743,0.0968,0
SK,2020-07,0.1427,0.7324,0.1249,0
SK,2020-08,0.1457,0.7294,0.1249,0
SK,2020-09,0.1354,0.7273,0.1176,0.0197
SK,2020-10,0.1151,0.8182,0.0512,0.0156
