subdivision,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
US-TX,2021-09,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2021-09,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2021-09,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2021-09,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2021-09,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2021-09,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2021-09,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2021-09,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2021-10,0.0683,0.2345,0.529,0.0217,0,0.0321,0.0016,0.0048,0.1079
CA-BC,2021-10,0.0074,0.0254,0.0574,0.879,0,0.0035,0.0002,0.0001,0.027
CA-MB,2021-10,0.0004,0.0015,0.0034,0.9402,0,0.0002,0,0,0.0542
CA-NB,2021-10,0.0289,0.0992,0.2236,0.1709,0.4336,0.0136,0.0007,0,0.0296
CA-NL,2021-10,0.0033,0.0113,0.0254,0.9559,0,0.0015,0.0001,0,0.0025
CA-NS,2021-10,0.0669,0.2299,0.5184,0.0387,0,0.0315,0.0016,0,0.113
CA-NT,2021-10,0.05,0.172,0.3879,0.3357,0,0.0236,0.0012,0.0001,0.0297
CA-NU,2021-10,0.0789,0.271,0.6112,0,0,0.0371,0.0018,0,0
CA-ON,2021-10,0.0081,0.028,0.0631,0.2481,0.5509,0.0038,0.0002,0.0138,0.0839
CA-PE,2021-10,0.0019,0.0066,0.015,0,0,0.0009,0,0.001,0.9745
CA-QC,2021-10,0.0009,0.003,0.0067,0.9419,0,0.0004,0,0,0.0472
CA-SK,2021-10,0.0682,0.2345,0.5289,0.0951,0,0.0321,0.0016,0.0009,0.0386
CA-YT,2021-10,0.0047,0.0161,0.0363,0.9399,0,0.0022,0.0001,0.0007,0
US-AK,2021-10,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2021-10,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2021-10,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2021-10,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2021-10,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2021-10,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2021-10,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2021-10,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2021-10,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2021-10,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2021-10,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2021-10,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2021-10,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2021-10,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2021-10,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2021-10,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2021-10,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2021-10,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2021-10,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2021-10,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2021-10,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2021-10,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2021-10,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2021-10,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2021-10,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2021-10,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2021-10,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2021-10,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2021-10,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2021-10,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2021-10,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2021-10,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2021-10,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2021-10,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2021-10,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2021-10,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2021-10,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2021-10,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2021-10,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2021-10,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2021-10,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2021-10,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2021-10,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2021-10,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2021-10,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2021-10,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2021-10,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2021-10,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2021-10,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2021-10,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2021-11,0.0664,0.2268,0.5122,0.0199,0,0.0312,0.0016,0.0025,0.1394
CA-BC,2021-11,0.006,0.0206,0.0465,0.8932,0,0.0028,0.0001,0,0.0307
CA-MB,2021-11,0.0004,0.0014,0.0031,0.9407,0,0.0002,0,0,0.0542
CA-NB,2021-11,0.0392,0.1339,0.3023,0.2866,0.1658,0.0184,0.0009,0,0.0529
CA-NL,2021-11,0.0035,0.0121,0.0273,0.953,0,0.0017,0.0001,0,0.0023
CA-NS,2021-11,0.0627,0.2141,0.4835,0.0688,0,0.0295,0.0015,0,0.1399
CA-NT,2021-11,0.0387,0.1324,0.2989,0.4851,0,0.0182,0.0009,0,0.0257
CA-NU,2021-11,0.0792,0.2706,0.611,0,0,0.0372,0.0019,0,0
CA-ON,2021-11,0.0103,0.0352,0.0794,0.2319,0.5169,0.0048,0.0002,0.0116,0.1096
CA-PE,2021-11,0.0016,0.0055,0.0123,0,0,0.0008,0,0.0004,0.9794
CA-QC,2021-11,0.0007,0.0024,0.0054,0.9306,0,0.0003,0,0,0.0606
CA-SK,2021-11,0.0681,0.2326,0.5252,0.0963,0,0.032,0.0016,0.0006,0.0435
CA-YT,2021-11,0.0157,0.0535,0.1208,0.8022,0,0.0074,0.0004,0.0002,0
US-AK,2021-11,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2021-11,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2021-11,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2021-11,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2021-11,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2021-11,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2021-11,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2021-11,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2021-11,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2021-11,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2021-11,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2021-11,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2021-11,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2021-11,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2021-11,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2021-11,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2021-11,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2021-11,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2021-11,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2021-11,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2021-11,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2021-11,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2021-11,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2021-11,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2021-11,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2021-11,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2021-11,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2021-11,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2021-11,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2021-11,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2021-11,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2021-11,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2021-11,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2021-11,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2021-11,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2021-11,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2021-11,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2021-11,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2021-11,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2021-11,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2021-11,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2021-11,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2021-11,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2021-11,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2021-11,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2021-11,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2021-11,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2021-11,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2021-11,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2021-11,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2021-12,0.0706,0.2415,0.5455,0.0202,0,0.0328,0.0009,0.0014,0.0871
CA-BC,2021-12,0.0047,0.0161,0.0363,0.9192,0,0.0022,0.0001,0,0.0214
CA-MB,2021-12,0.0003,0.0011,0.0026,0.9578,0,0.0002,0,0,0.038
CA-NB,2021-12,0.037,0.1265,0.2858,0.1782,0.3109,0.0172,0.0005,0,0.0438
CA-NL,2021-12,0.0033,0.0112,0.0254,0.9562,0,0.0015,0,0,0.0024
CA-NS,2021-12,0.0604,0.2065,0.4666,0.1127,0,0.0281,0.0008,0,0.1249
CA-NT,2021-12,0.0386,0.1319,0.2981,0.499,0,0.0179,0.0005,0,0.014
CA-NU,2021-12,0.0792,0.2709,0.6121,0,0,0.0369,0.001,0,0
CA-ON,2021-12,0.01,0.0342,0.0772,0.2387,0.5163,0.0046,0.0001,0.0049,0.114
CA-PE,2021-12,0.0007,0.0023,0.0052,0,0,0.0003,0,0.0003,0.9912
CA-QC,2021-12,0.0007,0.0023,0.0052,0.9416,0,0.0003,0,0,0.0499
CA-SK,2021-12,0.0676,0.2314,0.5228,0.1036,0,0.0315,0.0009,0.0004,0.0418
CA-YT,2021-12,0.0195,0.0668,0.1509,0.7535,0,0.0091,0.0002,0,0
US-AK,2021-12,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2021-12,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2021-12,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2021-12,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2021-12,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2021-12,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2021-12,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2021-12,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2021-12,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2021-12,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2021-12,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2021-12,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2021-12,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2021-12,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2021-12,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2021-12,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2021-12,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2021-12,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2021-12,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2021-12,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2021-12,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2021-12,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2021-12,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2021-12,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2021-12,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2021-12,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2021-12,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2021-12,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2021-12,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2021-12,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2021-12,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2021-12,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2021-12,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2021-12,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2021-12,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2021-12,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2021-12,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2021-12,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2021-12,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2021-12,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2021-12,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2021-12,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2021-12,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2021-12,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2021-12,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2021-12,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2021-12,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2021-12,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2021-12,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2021-12,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2022-01,0.0622,0.1805,0.5668,0.0215,0,0.04,0.0013,0.0021,0.1255
CA-BC,2022-01,0.0047,0.0137,0.0429,0.9128,0,0.003,0.0001,0,0.0228
CA-MB,2022-01,0.0004,0.0012,0.0036,0.9535,0,0.0003,0,0,0.0411
CA-NB,2022-01,0.0434,0.126,0.3956,0.0883,0.2846,0.0279,0.0009,0,0.0332
CA-NL,2022-01,0.0033,0.0097,0.0305,0.9505,0,0.0022,0.0001,0,0.0037
CA-NS,2022-01,0.0559,0.1623,0.5095,0.1309,0,0.036,0.0012,0,0.1043
CA-NT,2022-01,0.0432,0.1253,0.3935,0.3909,0,0.0278,0.0009,0,0.0183
CA-NU,2022-01,0.0731,0.2122,0.6662,0,0,0.047,0.0015,0,0
CA-ON,2022-01,0.0124,0.0361,0.1132,0.2187,0.5068,0.008,0.0003,0.006,0.0985
CA-PE,2022-01,0.0007,0.0019,0.006,0,0,0.0004,0,0.0003,0.9907
CA-QC,2022-01,0.0005,0.0016,0.0049,0.9494,0,0.0003,0,0,0.0433
CA-SK,2022-01,0.061,0.1771,0.5561,0.1208,0,0.0393,0.0013,0.0005,0.0439
CA-YT,2022-01,0.0156,0.0454,0.1425,0.7861,0,0.0101,0.0003,0,0
US-AK,2022-01,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2022-01,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2022-01,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2022-01,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2022-01,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2022-01,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2022-01,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2022-01,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2022-01,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2022-01,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2022-01,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
US-IA,2022-01,0.003,0.2767,0.1222,0.0106,0.0838,0.0016,0,0.0001,0.5019
US-ID,2022-01,0.03,0.0018,0.361,0.4259,0,0.004,0.0054,0.0139,0.158
US-IL,2022-01,0.0023,0.1982,0.1345,0.0008,0.5517,0.0015,0,0.0002,0.1107
US-IN,2022-01,0.0049,0.4926,0.4024,0.0027,0,0.0053,0,0.0016,0.0904
US-KS,2022-01,0.0011,0.3076,0.0455,0.0006,0.2042,0.0019,0,0.0001,0.439
US-KY,2022-01,0.006,0.7208,0.2128,0.057,0,0.0031,0,0.0003,0
US-LA,2022-01,0.0259,0.0415,0.6832,0.0076,0.217,0.0246,0,0,0
US-MA,2022-01,0.0513,0,0.8154,0.0396,0,0.0556,0,0.0241,0.0141
US-MD,2022-01,0.0099,0.1129,0.3148,0.0686,0.4586,0.0105,0,0.0092,0.0155
US-ME,2022-01,0.2064,0.0066,0.1273,0.3401,0,0.0314,0,0.0002,0.2879
US-MI,2022-01,0.0176,0.2795,0.3057,0.0107,0.3092,0.0095,0,0.0005,0.0672
US-MN,2022-01,0.0202,0.2789,0.2304,0.0149,0.2535,0.0056,0,0.0091,0.1874
US-MO,2022-01,0.0013,0.7084,0.0755,0.024,0.1434,0.0022,0,0.0006,0.0445
US-MS,2022-01,0.0276,0.0405,0.8151,0,0.1108,0.0001,0,0.0059,0
US-MT,2022-01,0.0005,0.5802,0.0196,0.2828,0,0.0273,0,0.0007,0.089
US-NC,2022-01,0.0212,0.265,0.2968,0.0411,0.3195,0.0056,0,0.046,0.0048
US-ND,2022-01,0,0.6412,0.0261,0.0572,0,0.0019,0,0,0.2737
US-NE,2022-01,0.0023,0.5292,0.0116,0.0281,0.1862,0.0003,0,0.0004,0.2418
US-NH,2022-01,0.0732,0.0147,0.1666,0.0756,0.6324,0.0061,0,0,0.0314
US-NJ,2022-01,0.0115,0.0143,0.5989,0.0002,0.3486,0.0124,0,0.0139,0.0003
US-NM,2022-01,0.0007,0.4402,0.2869,0.0037,0,0.0048,0.0024,0.0279,0.2335
US-NV,2022-01,0.0015,0.0487,0.6802,0.0519,0,0.0004,0.1013,0.1064,0.0096
US-NY,2022-01,0.0167,0,0.3371,0.2325,0.3664,0.0087,0,0.0035,0.035
US-OH,2022-01,0.0065,0.3585,0.4259,0.0041,0.1811,0.0027,0,0.0008,0.0204
US-OK,2022-01,0.0048,0.0351,0.5037,0.0328,0,0.0002,0,0.0006,0.4229
US-OR,2022-01,0.0175,0.0485,0.3584,0.5007,0,0.001,0.0023,0.0074,0.0642
US-PA,2022-01,0.0078,0.1819,0.4202,0.013,0.3583,0.0031,0,0.0003,0.0154
US-RI,2022-01,0.0311,0,0.9229,0.0006,0,0.0059,0,0.0057,0.0338
US-SC,2022-01,0.0236,0.1535,0.2453,0.007,0.5584,0.0018,0,0.0104,0
US-SD,2022-01,0,0.2239,0.0518,0.4597,0,0.0017,0,0.0001,0.2628
US-TN,2022-01,0.0111,0.2156,0.2364,0.1176,0.4149,0.0005,0,0.0035,0.0005
US-TX,2022-01,0.0031,0.1885,0.5056,0.0021,0.0971,0.0019,0,0.0075,0.1941
US-UT,2022-01,0.0016,0.701,0.2113,0.0181,0,0.0055,0.0064,0.0389,0.0171
US-VA,2022-01,0.0386,0.0558,0.5725,0.0002,0.3153,0.0081,0,0.0095,0
US-VT,2022-01,0.1392,0,0.0004,0.5811,0,0,0,0.052,0.2273
US-WA,2022-01,0.0164,0.0911,0.1483,0.6096,0.0964,0.0006,0,0.0003,0.0373
US-WI,2022-01,0.0227,0.4063,0.315,0.0478,0.1723,0.0035,0,0.0004,0.032
US-WV,2022-01,0,0.9185,0.0325,0.0172,0,0.0027,0,0,0.0291
US-WY,2022-01,0,0.8277,0.0404,0.0194,0,0.0033,0,0.0025,0.1067
CA-AB,2022-02,0.0629,0.1823,0.5747,0.023,0,0.0415,0.0009,0.0032,0.1115
CA-BC,2022-02,0.0053,0.0154,0.0486,0.9032,0,0.0035,0.0001,0,0.0238
CA-MB,2022-02,0.0003,0.0009,0.0027,0.9583,0,0.0002,0,0,0.0376
CA-NB,2022-02,0.035,0.1014,0.3197,0.1099,0.3663,0.0231,0.0005,0,0.0442
CA-NL,2022-02,0.0035,0.0102,0.0322,0.9471,0,0.0023,0.0001,0,0.0046
CA-NS,2022-02,0.0555,0.1606,0.5065,0.1173,0,0.0366,0.0008,0,0.1228
CA-NT,2022-02,0.0439,0.1271,0.4009,0.3829,0,0.0289,0.0007,0,0.0155
CA-NU,2022-02,0.073,0.2114,0.6665,0,0,0.0481,0.0011,0,0
CA-ON,2022-02,0.0103,0.0297,0.0936,0.2221,0.5099,0.0068,0.0002,0.0094,0.1181
CA-PE,2022-02,0.0006,0.0017,0.0052,0,0,0.0004,0,0.0005,0.9916
CA-QC,2022-02,0.0006,0.0017,0.0053,0.942,0,0.0004,0,0,0.05
CA-SK,2022-02,0.0599,0.1734,0.5469,0.134,0,0.0395,0.0009,0.0007,0.0448
CA-YT,2022-02,0.0076,0.022,0.0695,0.8954,0,0.005,0.0001,0.0003,0
US-AK,2022-02,0.0058,0.1257,0.4264,0.2389,0,0.1799,0,0,0.0234
US-AL,2022-02,0.0251,0.1741,0.3473,0.0933,0.3588,0.0001,0,0.0015,0
US-AR,2022-02,0.0179,0.3679,0.3006,0.034,0.2764,0.0009,0,0.0022,0
US-AZ,2022-02,0.0024,0.1275,0.4613,0.0473,0.3304,0.0011,0,0.0247,0.0053
US-CA,2022-02,0.0358,0.0019,0.5959,0.1262,0.0754,0.0046,0.0541,0.0735,0.0326
US-CO,2022-02,0.0029,0.4845,0.3033,0.0195,0,0.0011,0,0.0109,0.1778
US-CT,2022-02,0.0179,0,0.5972,0.0118,0.3584,0.0126,0,0.0017,0.0004
US-DE,2022-02,0.0253,0,0.9577,0,0,0.0004,0,0.0144,0.0021
US-FL,2022-02,0.0219,0.0703,0.7156,0.001,0.1554,0.0218,0,0.014,0
US-GA,2022-02,0.0482,0.1432,0.4767,0.0255,0.2885,0.0026,0,0.0155,0
US-HI,2022-02,0.0271,0.13,0.0006,0.012,0,0.7444,0,0.0297,0.0561
