subdivision,period,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
US-MD,2019-02,0.0081,0.0884,0.447,0.0877,0.3375,0.0069,0,0.0099,0.0145
US-ME,2019-02,0.2,0.0067,0.1547,0.3471,0,0.0265,0,0.0004,0.2644
US-MI,2019-02,0.0202,0.3576,0.2554,0.009,0.2928,0.0115,0,0.0011,0.0524
US-MN,2019-02,0.0191,0.3342,0.2045,0.0137,0.2402,0.0059,0,0.0064,0.176
US-MO,2019-02,0.0015,0.7539,0.0657,0.026,0.1194,0.0014,0,0.0005,0.0316
US-MS,2019-02,0.0221,0.0126,0.7775,0,0.184,0.0001,0,0.0038,0
US-MT,2019-02,0.0007,0.5471,0.0286,0.3168,0,0.0258,0,0.0007,0.0804
US-NC,2019-02,0.0222,0.0779,0.402,0.0593,0.384,0.0061,0,0.0433,0.0051
US-ND,2019-02,0,0.6617,0.0321,0.0603,0,0.0028,0,0,0.2431
US-NE,2019-02,0.0025,0.6025,0.0229,0.0278,0.1793,0.0006,0,0.0003,0.164
US-NH,2019-02,0.0902,0.0191,0.0667,0.1195,0.6619,0.0064,0,0,0.0362
US-NJ,2019-02,0.0116,0.0162,0.5239,0,0.4254,0.0091,0,0.0135,0.0004
US-NM,2019-02,0.0006,0.4682,0.2976,0.004,0,0.0045,0.0019,0.0243,0.1989
US-NV,2019-02,0.0014,0.1311,0.5921,0.0634,0,0.0013,0.111,0.0901,0.0095
US-NY,2019-02,0.0148,0.0054,0.3504,0.2184,0.3532,0.0142,0,0.003,0.0405
US-OH,2019-02,0.0053,0.3998,0.4511,0.003,0.1149,0.0064,0,0.0008,0.0186
US-OK,2019-02,0.0037,0.132,0.4546,0.0916,0,0.0005,0,0.0005,0.3171
US-OR,2019-02,0.0149,0.0515,0.3561,0.5075,0,0,0.003,0.0063,0.0607
US-PA,2019-02,0.0091,0.1839,0.3991,0.0119,0.3744,0.005,0,0.0003,0.0163
US-RI,2019-02,0.0465,0,0.8886,0.0011,0,0.0027,0,0.0089,0.0522
US-SC,2019-02,0.0238,0.1255,0.224,0.0304,0.5901,0.0011,0,0.0051,0
US-SD,2019-02,0,0.2371,0.121,0.4618,0,0.0012,0,0,0.1789
US-TN,2019-02,0.0127,0.1397,0.2232,0.1232,0.4968,0.0019,0,0.0021,0.0005
US-TX,2019-02,0.0032,0.2193,0.4659,0.0065,0.101,0.0016,0,0.007,0.1955
US-UT,2019-02,0.0018,0.6787,0.2277,0.0191,0,0.0037,0.0074,0.0339,0.0277
US-VA,2019-02,0.0311,0.0204,0.622,0.0135,0.3005,0.0063,0,0.0062,0
US-VT,2019-02,0.1867,0,0.0007,0.6122,0,0.0003,0,0.0398,0.1602
US-WA,2019-02,0.0145,0.0882,0.0889,0.6612,0.0978,0.0008,0,0.0003,0.0483
US-WI,2019-02,0.0202,0.47,0.2873,0.0366,0.1501,0.0037,0,0.0004,0.0318
US-WV,2019-02,0,0.9218,0.0135,0.0354,0,0.0018,0,0,0.0275
US-WY,2019-02,0,0.8595,0.027,0.0189,0,0.0021,0,0.0024,0.0902
CA-AB,2019-03,0.0772,0.3425,0.4892,0.0152,0,0.0393,0.0013,0.0003,0.0351
CA-BC,2019-03,0.011,0.0487,0.0696,0.8423,0,0.0056,0.0002,0,0.0226
CA-MB,2019-03,0.0003,0.0012,0.0017,0.9664,0,0.0001,0,0,0.0303
CA-NB,2019-03,0.032,0.1419,0.2026,0.1428,0.391,0.0163,0.0005,0,0.0729
CA-NL,2019-03,0.003,0.0134,0.0192,0.959,0,0.0015,0.0001,0,0.0038
CA-NS,2019-03,0.0648,0.2874,0.4105,0.0868,0,0.0329,0.0011,0,0.1165
CA-NT,2019-03,0.0538,0.2384,0.3405,0.3097,0,0.0273,0.0009,0.0004,0.029
CA-NU,2019-03,0.0813,0.3607,0.5152,0,0,0.0413,0.0014,0,0
CA-ON,2019-03,0.0101,0.0449,0.0642,0.2562,0.4975,0.0051,0.0002,0.0161,0.1057
CA-PE,2019-03,0.0007,0.003,0.0042,0,0,0.0003,0,0.0009,0.9909
CA-QC,2019-03,0.0008,0.0034,0.0048,0.9282,0,0.0004,0,0,0.0624
CA-SK,2019-03,0.0687,0.3045,0.435,0.1153,0,0.0349,0.0012,0,0.0405
CA-YT,2019-03,0.0225,0.0998,0.1426,0.7233,0,0.0114,0.0004,0,0
US-AK,2019-03,0.0064,0.1272,0.4398,0.2733,0,0.1299,0,0,0.0233
US-AL,2019-03,0.026,0.1644,0.4403,0.0984,0.2677,0.0001,0,0.003,0
US-AR,2019-03,0.0248,0.3517,0.304,0.0485,0.2665,0.0011,0,0.0034,0
US-AZ,2019-03,0.0019,0.2098,0.3352,0.0566,0.3406,0.0003,0,0.0504,0.0054
US-CA,2019-03,0.0286,0.0015,0.3764,0.2574,0.0685,0.004,0.0607,0.137,0.066
US-CO,2019-03,0.0031,0.4657,0.2776,0.028,0,0.0013,0,0.0215,0.2029
US-CT,2019-03,0.0197,0.0048,0.4657,0.0128,0.4772,0.0158,0,0.0037,0.0004
US-DE,2019-03,0.0118,0,0.9755,0,0,0.0001,0,0.0113,0.0013
US-FL,2019-03,0.0213,0.0752,0.729,0.0013,0.1313,0.0214,0,0.0205,0
US-GA,2019-03,0.0498,0.1832,0.4548,0.0594,0.2253,0.0039,0,0.0236,0
US-HI,2019-03,0.0413,0.1488,0.001,0.0103,0,0.7084,0,0.0253,0.0649
US-IA,2019-03,0.0028,0.3427,0.1002,0.015,0.0798,0.0023,0,0.0002,0.457
US-ID,2019-03,0.0291,0.0019,0.1874,0.5932,0,0.0045,0.006,0.0315,0.1465
US-IL,2019-03,0.0024,0.2868,0.0903,0.0006,0.5228,0.0014,0,0.0004,0.0952
US-IN,2019-03,0.0045,0.6123,0.3023,0.0025,0,0.0043,0,0.0031,0.0709
US-KS,2019-03,0.0012,0.2872,0.039,0.0004,0.2198,0.0012,0,0.0002,0.4509
US-KY,2019-03,0.0054,0.7164,0.2258,0.051,0,0.0008,0,0.0006,0
US-LA,2019-03,0.0258,0.0841,0.7216,0.0108,0.1111,0.0466,0,0,0
US-MA,2019-03,0.0415,0,0.597,0.0296,0.2342,0.0382,0,0.0484,0.0111
US-MD,2019-03,0.0083,0.1374,0.4614,0.0792,0.2823,0.0055,0,0.0127,0.0132
US-ME,2019-03,0.1904,0.0076,0.1409,0.365,0,0.0328,0,0.0006,0.2627
US-MI,2019-03,0.0225,0.3512,0.2838,0.0099,0.256,0.0119,0,0.0014,0.0635
US-MN,2019-03,0.0227,0.2634,0.1883,0.0232,0.2546,0.0052,0,0.0196,0.223
US-MO,2019-03,0.0015,0.6734,0.0997,0.0399,0.1388,0.0019,0,0.0012,0.0436
US-MS,2019-03,0.0192,0.0833,0.6848,0,0.2071,0.0004,0,0.0052,0
US-MT,2019-03,0.0007,0.5554,0.0137,0.3268,0,0.0285,0,0.0009,0.074
US-NC,2019-03,0.0211,0.2104,0.3515,0.043,0.2944,0.006,0,0.0677,0.0059
US-ND,2019-03,0,0.5895,0.0298,0.09,0,0.0025,0,0,0.2883
US-NE,2019-03,0.0024,0.524,0.0219,0.0462,0.1902,0.0006,0,0.0008,0.2139
US-NH,2019-03,0.0764,0.0171,0.1437,0.1067,0.6197,0.005,0,0,0.0314
US-NJ,2019-03,0.0111,0.0166,0.5105,0,0.433,0.0088,0,0.0194,0.0004
US-NM,2019-03,0.0009,0.3132,0.3681,0.0061,0,0.0069,0.003,0.0499,0.252
US-NV,2019-03,0.0015,0.0462,0.6125,0.0765,0,0.0011,0.1207,0.132,0.0094
US-NY,2019-03,0.0159,0.0069,0.3495,0.2731,0.2928,0.0077,0,0.0048,0.0493
US-OH,2019-03,0.0058,0.4468,0.4373,0.0034,0.0816,0.0041,0,0.0011,0.0199
US-OK,2019-03,0.0049,0.1411,0.4337,0.0341,0,0.0002,0,0.0007,0.3854
US-OR,2019-03,0.0156,0.0263,0.3495,0.5421,0,0.0003,0.003,0.0098,0.0534
US-PA,2019-03,0.0092,0.1874,0.3917,0.0135,0.3758,0.0043,0,0.0004,0.0177
US-RI,2019-03,0.033,0,0.9187,0.0007,0,0.0006,0,0.0081,0.0388
US-SC,2019-03,0.0229,0.1055,0.1949,0.0331,0.6333,0.0016,0,0.0087,0
US-SD,2019-03,0,0.1921,0.0873,0.5521,0,0.0007,0,0.0001,0.1678
US-TN,2019-03,0.0096,0.1868,0.2085,0.1187,0.4708,0.0015,0,0.0037,0.0005
US-TX,2019-03,0.0038,0.2064,0.4832,0.0024,0.1051,0.0017,0,0.0082,0.1892
US-UT,2019-03,0.002,0.5984,0.284,0.0233,0,0.0074,0.0089,0.0548,0.0213
US-VA,2019-03,0.0409,0.0274,0.6309,0.0095,0.2727,0.0077,0,0.0109,0
US-VT,2019-03,0.1457,0,0.0011,0.6208,0,0.0001,0,0.0541,0.1782
US-WA,2019-03,0.0171,0.0784,0.1164,0.6373,0.1048,0.001,0,0.0004,0.0445
US-WI,2019-03,0.0236,0.4211,0.3216,0.0466,0.1464,0.0028,0,0.0006,0.0372
US-WV,2019-03,0,0.9031,0.0235,0.0405,0,0.0018,0,0,0.031
US-WY,2019-03,0,0.8424,0.0299,0.023,0,0.0029,0,0.0043,0.0974
CA-AB,2019-04,0.0746,0.3322,0.4737,0.0187,0,0.0382,0.0018,0.0004,0.0602
CA-BC,2019-04,0.0125,0.0557,0.0794,0.8143,0,0.0064,0.0003,0,0.0313
CA-MB,2019-04,0.0003,0.0015,0.0021,0.9664,0,0.0002,0,0,0.0295
CA-NB,2019-04,0.0282,0.1257,0.1792,0.4795,0.0792,0.0145,0.0007,0,0.093
CA-NL,2019-04,0.0023,0.0104,0.0148,0.9662,0,0.0012,0.0001,0,0.0051
CA-NS,2019-04,0.0563,0.2506,0.3573,0.1573,0,0.0288,0.0014,0,0.1483
CA-NT,2019-04,0.0532,0.2367,0.3374,0.3149,0,0.0272,0.0013,0.0004,0.0288
CA-NU,2019-04,0.0811,0.3609,0.5145,0,0,0.0415,0.002,0,0
CA-ON,2019-04,0.0047,0.0208,0.0297,0.2799,0.5502,0.0024,0.0001,0.0196,0.0926
CA-PE,2019-04,0.0007,0.003,0.0043,0,0,0.0003,0,0.0008,0.9909
CA-QC,2019-04,0.0008,0.0034,0.0048,0.926,0,0.0004,0,0,0.0646
CA-SK,2019-04,0.0619,0.2754,0.3927,0.2,0,0.0317,0.0015,0,0.0367
CA-YT,2019-04,0.0252,0.112,0.1598,0.6895,0,0.0129,0.0006,0,0
US-AK,2019-04,0.0059,0.0742,0.4705,0.2949,0,0.127,0,0,0.0274
US-AL,2019-04,0.0225,0.159,0.3919,0.108,0.3143,0.0002,0,0.0041,0
US-AR,2019-04,0.0291,0.199,0.3337,0.1109,0.3218,0.001,0,0.0044,0
US-AZ,2019-04,0.0026,0.1658,0.4269,0.0617,0.268,0.001,0,0.0676,0.0065
US-CA,2019-04,0.0264,0.0015,0.2712,0.2921,0.0958,0.0042,0.0556,0.1622,0.091
US-CO,2019-04,0.0031,0.3991,0.2875,0.0376,0,0.0015,0,0.0275,0.2436
US-CT,2019-04,0.0219,0,0.6401,0.0196,0.2929,0.02,0,0.0051,0.0005
US-DE,2019-04,0.0143,0,0.9687,0,0,0,0,0.0154,0.0016
US-FL,2019-04,0.0194,0.0686,0.7428,0.0012,0.1263,0.0197,0,0.022,0
US-GA,2019-04,0.0393,0.1721,0.4315,0.0441,0.2896,0.0029,0,0.0205,0
US-HI,2019-04,0.0326,0.1526,0.0006,0.0134,0,0.7022,0,0.0289,0.0698
US-IA,2019-04,0.0038,0.1916,0.0912,0.0183,0.0807,0.0009,0,0.0003,0.6131
US-ID,2019-04,0.0288,0.0003,0.1066,0.6568,0,0.0039,0.0054,0.0372,0.161
US-IL,2019-04,0.0024,0.2179,0.1164,0.0007,0.5476,0.0015,0,0.0004,0.113
US-IN,2019-04,0.0047,0.6321,0.2664,0.0024,0,0.0042,0,0.0037,0.0866
US-KS,2019-04,0.0013,0.17,0.0407,0.0008,0.2444,0.0017,0,0.0003,0.5409
US-KY,2019-04,0.0019,0.6763,0.2295,0.0906,0,0.0007,0,0.0011,0
US-LA,2019-04,0.0221,0.0508,0.7697,0.0194,0.1098,0.0282,0,0,0
US-MA,2019-04,0.0472,0,0.526,0.0428,0.267,0.0425,0,0.0625,0.012
US-MD,2019-04,0.0114,0.0355,0.3664,0.0951,0.4503,0.0072,0,0.0163,0.0177
US-ME,2019-04,0.178,0.006,0.0398,0.4581,0,0.0347,0,0.0008,0.2826
US-MI,2019-04,0.0224,0.2977,0.3227,0.0083,0.266,0.0035,0,0.0016,0.0777
US-MN,2019-04,0.0172,0.2638,0.235,0.0265,0.2136,0.0066,0,0.0276,0.2096
US-MO,2019-04,0.0016,0.7705,0.1009,0.0645,0,0.0013,0,0.002,0.0592
US-MS,2019-04,0.0237,0.1138,0.6656,0,0.1902,0.0004,0,0.0063,0
US-MT,2019-04,0.0008,0.3929,0.0106,0.4549,0,0.0336,0,0.0014,0.1057
US-NC,2019-04,0.0255,0.1967,0.3176,0.0837,0.2781,0.0079,0,0.0836,0.007
US-ND,2019-04,0,0.5172,0.0349,0.1151,0,0.0014,0,0,0.3314
US-NE,2019-04,0.0026,0.4493,0.0329,0.0527,0.2095,0.0003,0,0.0011,0.2515
US-NH,2019-04,0.047,0.0002,0.1786,0.1194,0.6203,0.0046,0,0,0.03
US-NJ,2019-04,0.0129,0.015,0.6,0,0.3429,0.01,0,0.0188,0.0004
US-NM,2019-04,0.0008,0.372,0.3369,0.0057,0,0.0048,0.0023,0.0503,0.2273
US-NV,2019-04,0.0016,0.031,0.5836,0.1052,0,0.0006,0.1084,0.1588,0.0108
US-NY,2019-04,0.0128,0.001,0.3265,0.2529,0.346,0.0059,0,0.0048,0.05
US-OH,2019-04,0.0067,0.3118,0.4837,0.0038,0.1604,0.0066,0,0.0015,0.0256
US-OK,2019-04,0.0029,0.0755,0.4167,0.0667,0,0.0003,0,0.001,0.437
US-OR,2019-04,0.0131,0,0.2309,0.6054,0,0.0007,0.003,0.0124,0.1345
US-PA,2019-04,0.0107,0.2046,0.3409,0.0151,0.4007,0.0062,0,0.0005,0.0214
US-RI,2019-04,0.0245,0,0.9316,0.0007,0,0.0002,0,0.0085,0.0346
US-SC,2019-04,0.0226,0.1131,0.1991,0.0382,0.6172,0.0009,0,0.0089,0
US-SD,2019-04,0,0.1567,0.0641,0.5964,0,0.0005,0,0.0001,0.1821
US-TN,2019-04,0.0139,0.2323,0.1079,0.1598,0.4783,0.0015,0,0.0057,0.0007
US-TX,2019-04,0.0034,0.1803,0.4652,0.0048,0.0973,0.0017,0,0.0128,0.2345
US-UT,2019-04,0.0022,0.5702,0.2514,0.0356,0,0.01,0.0111,0.0911,0.0282
US-VA,2019-04,0.0435,0.0168,0.5346,0.0165,0.3668,0.0074,0,0.0144,0
US-VT,2019-04,0.1288,0,0.001,0.6553,0,0,0,0.0576,0.1573
US-WA,2019-04,0.012,0.0266,0.0927,0.6781,0.0978,0.0008,0,0.0005,0.0914
US-WI,2019-04,0.0244,0.3793,0.3756,0.0457,0.126,0.0019,0,0.0007,0.0464
US-WV,2019-04,0,0.8873,0.0262,0.0452,0,0.0018,0,0,0.0396
US-WY,2019-04,0,0.8013,0.0305,0.0309,0,0.0027,0,0.0056,0.1291
CA-AB,2019-05,0.0757,0.3338,0.4759,0.0355,0,0.0393,0.0019,0.0005,0.0374
CA-BC,2019-05,0.0091,0.0402,0.0572,0.875,0,0.0047,0.0002,0,0.0135
CA-MB,2019-05,0.0002,0.0011,0.0015,0.9697,0,0.0001,0,0,0.0274
CA-NB,2019-05,0.0197,0.087,0.124,0.467,0.2354,0.0102,0.0005,0,0.0562
CA-NL,2019-05,0.0032,0.0143,0.0204,0.9553,0,0.0017,0.0001,0,0.005
CA-NS,2019-05,0.0586,0.2581,0.3681,0.1702,0,0.0304,0.0014,0,0.1132
CA-NT,2019-05,0.0554,0.244,0.3479,0.3021,0,0.0287,0.0014,0.0007,0.0198
CA-NU,2019-05,0.0817,0.3602,0.5136,0,0,0.0424,0.002,0,0
CA-ON,2019-05,0.0039,0.0174,0.0247,0.312,0.5605,0.002,0.0001,0.0224,0.0569
CA-PE,2019-05,0.0011,0.005,0.0072,0,0,0.0006,0,0.0013,0.9847
CA-QC,2019-05,0.0007,0.003,0.0043,0.9437,0,0.0004,0,0,0.0479
CA-SK,2019-05,0.0676,0.298,0.4249,0.1445,0,0.0351,0.0017,0,0.0282
CA-YT,2019-05,0.0256,0.113,0.1611,0.6864,0,0.0133,0.0006,0,0
US-AK,2019-05,0.0061,0.0733,0.4106,0.3506,0,0.1353,0,0,0.0241
US-AL,2019-05,0.0214,0.1556,0.4032,0.0966,0.3192,0.0002,0,0.0038,0
US-AR,2019-05,0.0231,0.3226,0.3152,0.1033,0.2306,0.0012,0,0.0039,0
US-AZ,2019-05,0.0025,0.1899,0.3586,0.0643,0.3139,0.0007,0,0.0647,0.0055
US-CA,2019-05,0.0293,0.0013,0.2392,0.2824,0.1041,0.0034,0.0586,0.1685,0.1131
US-CO,2019-05,0.003,0.4251,0.2927,0.0387,0,0.0015,0,0.0297,0.2092
US-CT,2019-05,0.0245,0,0.5604,0.0204,0.3701,0.0195,0,0.0048,0.0003
US-DE,2019-05,0.0134,0,0.9705,0,0,0.0006,0,0.0145,0.0011
US-FL,2019-05,0.0177,0.0914,0.7634,0.0009,0.0888,0.0194,0,0.0183,0
US-GA,2019-05,0.0367,0.2525,0.411,0.0284,0.2487,0.002,0,0.0206,0
US-HI,2019-05,0.031,0.1253,0.001,0.0099,0,0.7495,0,0.0273,0.0561
US-IA,2019-05,0.0034,0.3112,0.1066,0.0217,0.0989,0.0014,0,0.0004,0.4564
US-ID,2019-05,0.035,0.0011,0.066,0.6986,0,0.0034,0.0058,0.0409,0.149
US-IL,2019-05,0.0025,0.2314,0.0952,0.0006,0.5906,0.0019,0,0.0004,0.0774
US-IN,2019-05,0.0053,0.6079,0.3104,0.0027,0,0.0053,0,0.004,0.0644
US-KS,2019-05,0.0012,0.2821,0.0843,0.0002,0.2308,0.0024,0,0.0004,0.3986
US-KY,2019-05,0.0036,0.7113,0.204,0.0779,0,0.0023,0,0.0009,0
