id,family,name,category,vcpus,memory,ssd,hdd,cpu,accelerators,accelerator
d2ds-v6,ddsv6,d2ds v6,general,2,8,110,0,intel-xeon-8573c,0,
d2lds-v5,dldsv5,d2lds v5,general,2,4,75,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d2lds-v6,dldsv6,d2lds v6,general,2,4,110,0,intel-xeon-8573c,0,
d2ls-v5,dlsv5,d2ls v5,general,2,4,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d2ls-v6,dlsv6,d2ls v6,general,2,4,0,0,intel-xeon-8573c,0,
d2pds-v5,dpdsv5,d2pds v5,general,2,8,75,0,ampere-altra-q8030,0,
d2pds-v6,dpdsv6,d2pds v6,general,2,8,110,0,azure-cobalt-100,0,
d2plds-v5,dpldsv5,d2plds v5,general,2,4,75,0,ampere-altra-q8030,0,
d2plds-v6,dpldsv6,d2plds v6,general,2,4,110,0,azure-cobalt-100,0,
d2pls-v5,dplsv5,d2pls v5,general,2,4,0,0,ampere-altra-q8030,0,
d2pls-v6,dplsv6,d2pls v6,general,2,4,0,0,azure-cobalt-100,0,
d2ps-v5,dpsv5,d2ps v5,general,2,8,0,0,ampere-altra-q8030,0,
d2ps-v6,dpsv6,d2ps v6,general,2,8,0,0,azure-cobalt-100,0,
d2s,dsv1,d2s,general,2,7,14,0,intel-xeon-8272cl,0,
d2s-v3,dsv3,d2s v3,general,2,8,16,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d2s-v4,dsv4,d2s v4,general,2,8,0,0,"intel-xeon-8473c,intel-xeon-8370c,intel-xeon-8272cl",0,
d2s-v5,dsv5,d2s v5,general,2,8,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d2s-v6,dsv6,d2s v6,general,2,8,0,0,intel-xeon-8573c,0,
d3,dv1,d3,general,4,14,200,0,intel-xeon-8171m,0,
d3-v2,dv2,d3 v2,general,4,14,200,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d32-v3,dv3,d32 v3,general,32,128,800,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d32-v4,dv4,d32 v4,general,32,128,0,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8473c",0,
d32-v5,dv5,d32 v5,general,32,128,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d32a-v4,dav4,d32a v4,general,32,128,800,0,"amd-epyc-7452,amd-epyc-7763v",0,
d32ads-v5,dadsv5,d32ads v5,general,32,128,1200,0,amd-epyc-7763v,0,
d32ads-v6,dadsv6,d32ads v6,general,32,128,1760,0,amd-epyc-9004,0,
d32alds-v6,daldsv6,d32alds v6,general,32,64,1760,0,amd-epyc-9004,0,
d32als-v6,dalsv6,d32als v6,general,32,64,0,0,amd-epyc-9004,0,
d32as-v4,dasv4,d32as v4,general,32,128,256,0,"amd-epyc-7452,amd-epyc-7763v",0,
d32as-v5,dasv5,d32as v5,general,32,128,0,0,amd-epyc-7763v,0,
d32as-v6,dasv6,d32as v6,general,32,128,0,0,amd-epyc-9004,0,
d32d-v4,ddv4,d32d v4,general,32,128,1200,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d32d-v5,ddv5,d32d v5,general,32,128,1200,0,intel-xeon-8370c,0,
d32ds-v4,ddsv4,d32ds v4,general,32,128,1200,0,"intel-xeon-8370c,intel-xeon-8272cl",0,
d32ds-v5,ddsv5,d32ds v5,general,32,128,1200,0,intel-xeon-8370c,0,
d32ds-v6,ddsv6,d32ds v6,general,32,128,1760,0,intel-xeon-8573c,0,
d32lds-v5,dldsv5,d32lds v5,general,32,64,1200,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d32lds-v6,dldsv6,d32lds v6,general,32,64,1760,0,intel-xeon-8573c,0,
d32ls-v5,dlsv5,d32ls v5,general,32,64,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
d32ls-v6,dlsv6,d32ls v6,general,32,64,0,0,intel-xeon-8573c,0,
d32pds-v5,dpdsv5,d32pds v5,general,32,128,1200,0,ampere-altra-q8030,0,
d32pds-v6,dpdsv6,d32pds v6,general,32,128,1760,0,azure-cobalt-100,0,
d32plds-v5,dpldsv5,d32plds v5,general,32,64,1200,0,ampere-altra-q8030,0,
d32plds-v6,dpldsv6,d32plds v6,general,32,64,1760,0,azure-cobalt-100,0,
d32pls-v5,dplsv5,d32pls v5,general,32,64,0,0,ampere-altra-q8030,0,
d32pls-v6,dplsv6,d32pls v6,general,32,64,0,0,azure-cobalt-100,0,
d32ps-v5,dpsv5,d32ps v5,general,32,128,0,0,ampere-altra-q8030,0,
d32ps-v6,dpsv6,d32ps v6,general,32,128,0,0,azure-cobalt-100,0,
d32s-v3,dsv3,d32s v3,general,32,128,256,0,"intel-xeon-8370c,intel-xeon-8272cl,intel-xeon-8171m,intel-xeon-e52673v4,intel-xeon-e52673v3",0,
d32s-v4,dsv4,d32s v4,general,32,128,0,0,"intel-xeon-8473c,intel-xeon-8370c,intel-xeon-8272cl",0,
d32s-v5,dsv5,d32s v5,general,32,128,0,0,"intel-xeon-8473c,intel-xeon-8370c",0,
