id,family,category,vcpus,memory,ssd,hdd,cpu
c3-highmem-8,c3-highmem-8,general,8,64,0,,intel-xeon-8481c
c3-highmem-88,c3-highmem-88,general,88,704,0,,intel-xeon-8481c
c3-standard-176,c3-standard-176,general,176,704,0,,intel-xeon-8481c
c3-standard-176-lssd,c3-standard-176-lssd,general,176,704,12000,,intel-xeon-8481c
c3-standard-192-metal,c3-standard-192-metal,general,192,768,0,,intel-xeon-8481c
c3-standard-22,c3-standard-22,general,22,88,0,,intel-xeon-8481c
c3-standard-22-lssd,c3-standard-22-lssd,general,22,88,1500,,intel-xeon-8481c
c3-standard-4,c3-standard-4,general,4,16,0,,intel-xeon-8481c
c3-standard-4-lssd,c3-standard-4-lssd,general,4,16,375,,intel-xeon-8481c
c3-standard-44,c3-standard-44,general,44,176,0,,intel-xeon-8481c
c3-standard-44-lssd,c3-standard-44-lssd,general,44,176,3000,,intel-xeon-8481c
c3-standard-8,c3-standard-8,general,8,32,0,,intel-xeon-8481c
c3-standard-8-lssd,c3-standard-8-lssd,general,8,32,750,,intel-xeon-8481c
c3-standard-88,c3-standard-88,general,88,352,0,,intel-xeon-8481c
c3-standard-88-lssd,c3-standard-88-lssd,general,88,352,6000,,intel-xeon-8481c
c3d-highcpu-16,c3d-highcpu-16,general,16,32,0,,amd-epyc-9b14
c3d-highcpu-180,c3d-highcpu-180,general,180,354,0,,amd-epyc-9b14
c3d-highcpu-30,c3d-highcpu-30,general,30,59,0,,amd-epyc-9b14
c3d-highcpu-360,c3d-highcpu-360,general,360,708,0,,amd-epyc-9b14
c3d-highcpu-4,c3d-highcpu-4,general,4,8,0,,amd-epyc-9b14
c3d-highcpu-60,c3d-highcpu-60,general,60,118,0,,amd-epyc-9b14
c3d-highcpu-8,c3d-highcpu-8,general,8,16,0,,amd-epyc-9b14
c3d-highcpu-90,c3d-highcpu-90,general,90,177,0,,amd-epyc-9b14
c3d-highmem-16,c3d-highmem-16,general,16,128,0,,amd-epyc-9b14
c3d-highmem-16-lssd,c3d-highmem-16-lssd,general,16,128,375,,amd-epyc-9b14
c3d-highmem-180,c3d-highmem-180,general,180,1440,0,,amd-epyc-9b14
c3d-highmem-180-lssd,c3d-highmem-180-lssd,general,180,1440,6000,,amd-epyc-9b14
c3d-highmem-30,c3d-highmem-30,general,30,240,0,,amd-epyc-9b14
c3d-highmem-30-lssd,c3d-highmem-30-lssd,general,30,240,750,,amd-epyc-9b14
c3d-highmem-360,c3d-highmem-360,general,360,2880,0,,amd-epyc-9b14
c3d-highmem-360-lssd,c3d-highmem-360-lssd,general,360,2880,12000,,amd-epyc-9b14
c3d-highmem-4,c3d-highmem-4,general,4,32,0,,amd-epyc-9b14
c3d-highmem-60,c3d-highmem-60,general,60,480,0,,amd-epyc-9b14
c3d-highmem-60-lssd,c3d-highmem-60-lssd,general,60,480,1500,,amd-epyc-9b14
c3d-highmem-8,c3d-highmem-8,general,8,64,0,,amd-epyc-9b14
c3d-highmem-8-lssd,c3d-highmem-8-lssd,general,8,64,375,,amd-epyc-9b14
c3d-highmem-90,c3d-highmem-90,general,90,720,0,,amd-epyc-9b14
c3d-highmem-90-lssd,c3d-highmem-90-lssd,general,90,720,3000,,amd-epyc-9b14
c3d-standard-16,c3d-standard-16,general,16,64,0,,amd-epyc-9b14
c3d-standard-16-lssd,c3d-standard-16-lssd,general,16,64,375,,amd-epyc-9b14
c3d-standard-180,c3d-standard-180,general,180,720,0,,amd-epyc-9b14
c3d-standard-180-lssd,c3d-standard-180-lssd,general,180,720,6000,,amd-epyc-9b14
c3d-standard-30,c3d-standard-30,general,30,120,0,,amd-epyc-9b14
c3d-standard-30-lssd,c3d-standard-30-lssd,general,30,120,750,,amd-epyc-9b14
c3d-standard-360,c3d-standard-360,general,360,1440,0,,amd-epyc-9b14
c3d-standard-360-lssd,c3d-standard-360-lssd,general,360,1440,12000,,amd-epyc-9b14
c3d-standard-4,c3d-standard-4,general,4,16,0,,amd-epyc-9b14
c3d-standard-60,c3d-standard-60,general,60,240,0,,amd-epyc-9b14
c3d-standard-60-lssd,c3d-standard-60-lssd,general,60,240,1500,,amd-epyc-9b14
c3d-standard-8,c3d-standard-8,general,8,32,0,,amd-epyc-9b14
c3d-standard-8-lssd,c3d-standard-8-lssd,general,8,32,375,,amd-epyc-9b14
c3d-standard-90,c3d-standard-90,general,90,360,0,,amd-epyc-9b14
c3d-standard-90-lssd,c3d-standard-90-lssd,general,90,360,3000,,amd-epyc-9b14
c4-highcpu-16,c4-highcpu-16,general,16,32,0,,intel-xeon-8581c
c4-highcpu-192,c4-highcpu-192,general,192,384,0,,intel-xeon-8581c
c4-highcpu-2,c4-highcpu-2,general,2,4,0,,intel-xeon-8581c
c4-highcpu-32,c4-highcpu-32,general,32,64,0,,intel-xeon-8581c
c4-highcpu-4,c4-highcpu-4,general,4,8,0,,intel-xeon-8581c
c4-highcpu-48,c4-highcpu-48,general,48,96,0,,intel-xeon-8581c
c4-highcpu-8,c4-highcpu-8,general,8,16,0,,intel-xeon-8581c
c4-highcpu-96,c4-highcpu-96,general,96,192,0,,intel-xeon-8581c
c4-highmem-16,c4-highmem-16,general,16,124,0,,intel-xeon-8581c
c4-highmem-192,c4-highmem-192,general,192,1488,0,,intel-xeon-8581c
c4-highmem-2,c4-highmem-2,general,2,15,0,,intel-xeon-8581c
c4-highmem-32,c4-highmem-32,general,32,248,0,,intel-xeon-8581c
c4-highmem-4,c4-highmem-4,general,4,31,0,,intel-xeon-8581c
c4-highmem-48,c4-highmem-48,general,48,372,0,,intel-xeon-8581c
c4-highmem-8,c4-highmem-8,general,8,62,0,,intel-xeon-8581c
c4-highmem-96,c4-highmem-96,general,96,744,0,,intel-xeon-8581c
c4-standard-16,c4-standard-16,general,16,60,0,,intel-xeon-8581c
c4-standard-192,c4-standard-192,general,192,720,0,,intel-xeon-8581c
c4-standard-2,c4-standard-2,general,2,7,0,,intel-xeon-8581c
c4-standard-32,c4-standard-32,general,32,120,0,,intel-xeon-8581c
c4-standard-4,c4-standard-4,general,4,15,0,,intel-xeon-8581c
c4-standard-48,c4-standard-48,general,48,180,0,,intel-xeon-8581c
c4-standard-8,c4-standard-8,general,8,30,0,,intel-xeon-8581c
c4-standard-96,c4-standard-96,general,96,360,0,,intel-xeon-8581c
c4a-highcpu-1,c4a-highcpu-1,general,1,2,0,,google-axion
c4a-highcpu-16,c4a-highcpu-16,general,16,32,0,,google-axion
c4a-highcpu-2,c4a-highcpu-2,general,2,4,0,,google-axion
c4a-highcpu-32,c4a-highcpu-32,general,32,64,0,,google-axion
c4a-highcpu-4,c4a-highcpu-4,general,4,8,0,,google-axion
c4a-highcpu-48,c4a-highcpu-48,general,48,96,0,,google-axion
c4a-highcpu-64,c4a-highcpu-64,general,64,128,0,,google-axion
c4a-highcpu-72,c4a-highcpu-72,general,72,144,0,,google-axion
c4a-highcpu-8,c4a-highcpu-8,general,8,16,0,,google-axion
c4a-highmem-1,c4a-highmem-1,general,1,8,0,,google-axion
c4a-highmem-16,c4a-highmem-16,general,16,128,0,,google-axion
c4a-highmem-2,c4a-highmem-2,general,2,16,0,,google-axion
c4a-highmem-32,c4a-highmem-32,general,32,256,0,,google-axion
c4a-highmem-4,c4a-highmem-4,general,4,32,0,,google-axion
c4a-highmem-48,c4a-highmem-48,general,48,384,0,,google-axion
c4a-highmem-64,c4a-highmem-64,general,64,512,0,,google-axion
c4a-highmem-72,c4a-highmem-72,general,72,576,0,,google-axion
c4a-highmem-8,c4a-highmem-8,general,8,64,0,,google-axion
c4a-standard-1,c4a-standard-1,general,1,4,0,,google-axion
c4a-standard-16,c4a-standard-16,general,16,64,0,,google-axion
c4a-standard-2,c4a-standard-2,general,2,8,0,,google-axion
c4a-standard-32,c4a-standard-32,general,32,128,0,,google-axion
c4a-standard-4,c4a-standard-4,general,4,16,0,,google-axion
c4a-standard-48,c4a-standard-48,general,48,192,0,,google-axion
c4a-standard-64,c4a-standard-64,general,64,256,0,,google-axion
c4a-standard-72,c4a-standard-72,general,72,288,0,,google-axion
c4a-standard-8,c4a-standard-8,general,8,32,0,,google-axion
e2-highcpu-16,e2-highcpu-16,general,16,16,0,,"intel-xeon-8173m,intel-xeon-e52696v4,amd-epyc-7b13,amd-epyc-7b12"
