subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-MB,2019-02,7.81457e-8,0.0000453873,0.0285512,5.30059e-10,1.4352e-9,0.0107341,0.000843044,2.99752e-8,0.00184829
CA-NB,2019-02,9.19404e-8,0.000095675,0.0107797,6.44248e-10,1.00429e-9,0.0054982,0.000309169,0.00000298534,0.00371101
CA-NL,2019-02,6.32636e-8,0.000053448,0.0260635,3.64885e-10,1.39406e-9,0.0105089,0.000808184,4.00583e-7,0.00197245
CA-NS,2019-02,1.2682e-7,0.000175183,0.0114129,7.89578e-10,1.52018e-9,0.00799279,0.000385132,0.00000582288,0.00647194
CA-NT,2019-02,7.09921e-8,0.00015156,0.0107791,2.63913e-10,1.38268e-9,0.00834832,0.000452001,0.0000047966,0.00520097
CA-NU,2019-02,6.19282e-8,0.000207287,0.00105794,7.48299e-11,1.34178e-9,0.00707873,0.000244272,0.00000730236,0.00691531
CA-ON,2019-02,1.36565e-7,0.0000456292,0.015559,7.97745e-10,9.2288e-10,0.00525642,0.000426825,9.22168e-7,0.00227323
CA-PE,2019-02,6.73552e-7,0.0000539289,0.0743201,6.51596e-9,2.97324e-9,0.0123772,0.00102895,4.80637e-8,0.00752484
CA-QC,2019-02,9.44646e-8,0.0000463041,0.0296992,6.93494e-10,1.4772e-9,0.0107637,0.00084556,6.11874e-8,0.00202627
CA-SK,2019-02,7.43175e-8,0.000180259,0.00641749,2.48859e-10,1.38247e-9,0.00771867,0.000347707,0.00000608241,0.00615753
CA-YT,2019-02,6.08719e-8,0.000077825,0.0219279,2.9685e-10,1.38013e-9,0.00995867,0.000718046,0.00000149554,0.00273584
US-AK,2019-02,3.34613e-8,0.0000270228,0.00820582,2.30214e-10,4.94869e-10,0.00334537,0.000240923,5.37415e-7,0.00106639
US-AL,2019-02,3.28799e-8,0.0000658668,0.00297121,5.96774e-11,5.42688e-10,0.00314408,0.00016459,0.00000215763,0.00223717
US-AR,2019-02,3.10459e-8,0.0000563439,0.00347732,6.31785e-11,5.03669e-10,0.00300699,0.000169555,0.00000179,0.00192318
US-AZ,2019-02,1.87666e-7,0.0000173793,0.0041802,1.49115e-10,4.58766e-10,0.00192336,0.0003396,1.83977e-7,0.00109126
US-CA,2019-02,6.54475e-7,0.000117098,0.0174831,8.61295e-10,1.99745e-9,0.0087168,0.00120126,0.0000026738,0.0058619
US-CO,2019-02,2.07342e-7,0.000021602,0.0156091,1.26297e-9,7.782e-10,0.00329682,0.000346348,2.25977e-7,0.0019957
US-CT,2019-02,2.9604e-8,0.0000453516,0.000840186,3.15362e-11,3.33757e-10,0.00175099,0.0000883559,0.0000015459,0.00155819
US-DC,2019-02,4.39781e-7,0.000857867,0.00677948,4.02387e-10,5.84e-9,0.0301356,0.00129593,0.0000298687,0.0291085
US-DE,2019-02,6.86186e-8,0.0000403842,0.00103494,5.15116e-11,3.52032e-10,0.0016482,0.000135355,0.00000131323,0.00150344
US-FL,2019-02,9.96796e-8,0.0000575183,0.00141045,6.2885e-11,5.02805e-10,0.00235452,0.000196925,0.00000186572,0.0021389
US-GA,2019-02,9.92818e-8,0.000115358,0.00261886,8.84208e-11,8.94027e-10,0.0046366,0.000268522,0.0000038734,0.00402349
US-HI,2019-02,1.83653e-7,0.0000937425,0.00689015,5.0516e-10,9.60352e-10,0.00446969,0.000355064,0.000002953,0.00379407
US-IA,2019-02,2.29118e-7,0.0000261251,0.0253246,2.20077e-9,1.06257e-9,0.00452528,0.000362506,2.82889e-7,0.0028004
US-ID,2019-02,2.42084e-7,0.0000916438,0.0260802,1.18059e-9,1.68005e-9,0.00975001,0.000797132,0.00000198049,0.00422149
US-IL,2019-02,6.25142e-8,0.0000101439,0.00666291,5.81904e-10,3.01153e-10,0.00129284,0.0000997923,1.89905e-7,0.000850223
US-IN,2019-02,6.41394e-8,0.000015174,0.00558308,4.75643e-10,3.07586e-10,0.00134833,0.000108157,3.74643e-7,0.000948395
US-KS,2019-02,2.16392e-7,0.0000193448,0.0238943,2.09418e-9,9.67888e-10,0.00404716,0.000332351,8.70054e-8,0.00248343
