"country","year","adpe","ap","ctue","ctuh-c","ctuh-nc","gwp","ir","pm","wu"
"CN","2019","8,732840246782751e-7","0,00021649972045013392","0,04212086800820824","2,0420053299016252e-9","3,6389141656456348e-9","0,018160950867619572","0,0019287437107178848","0,000005054329864524289","0,010288891055619778"
"CO","2019","7,339642123360927e-8","0,00004861518858480897","0,02743794055840648","3,690515199742714e-10","1,4319630601246086e-9","0,010859708527436824","0,0008591361727119342","1,3010191949335064e-7","0,001833876657109086"
"KM","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CD","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CG","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CK","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"CR","2019","1,8145461289737188e-7","0,00006417332528632531","0,035888937168352154","1,4927267147583022e-9","1,7944162397435268e-9","0,011571105485224234","0,0008952206975374205","6,464420114890421e-7","0,0033439750031662506"
"CI","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"HR","2019","5,036326804125891e-7","0,00022710104114147226","0,039410606302011035","1,9567742151501138e-9","3,193506123602163e-9","0,017330991880826895","0,0013941393239936938","0,00000606813189529791","0,009705443288150851"
"CU","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"CY","2019","0,000002934425819443239","0,0001662198708109229","0,07338343208812338","4,79401200319379e-9","6,436425704978999e-9","0,022882602547887126","0,004646970068325019","1,3642318897186785e-9","0,015348898659638224"
"CZ","2019","0,000002025097575780721","0,0008297718531853123","0,04197779355578691","1,955771732717333e-9","8,610786044113012e-9","0,039786091073138206","0,0039309292396619774","0,000025342696137183535","0,03286689827127485"
"DK","2019","9,254370531206179e-7","0,00045064592354829926","0,05971398654520229","4,778744919435627e-9","5,339820999031367e-9","0,025011697383772655","0,0017926025066859396","0,000013809626120407055","0,019844780383925734"
"DJ","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"DM","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"DO","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"EC","2019","7,500250904015315e-8","0,00008825736472931472","0,027193819888017206","3,858935126064481e-10","1,6584064853603892e-9","0,012029685969721713","0,00087765542398208","0,0000015702112630905102","0,0031366574659733547"
"EG","2019","0,0000014559841413640534","0,00010872064657720623","0,03880027675125021","9,912962352490568e-10","3,6926396821042552e-9","0,016876553131570337","0,0028687005055576214","1,1411541087498096e-9","0,007459240680855162"
"SV","2019","8,390686034217733e-7","0,0006001576559056956","0,029166922779435136","7,573659579928418e-10","5,595683710614655e-9","0,02943499814981485","0,0022035976460706218","0,000018900422619855492","0,021813631872942107"
"GQ","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"ER","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"EE","2019","7,473338317055225e-7","0,0008779813749638449","0,04568182230532792","3,5098496630588866e-9","7,3507208674305065e-9","0,03712264744395834","0,001871692737685373","0,000029493842286430124","0,0324598589448428"
"SZ","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"ET","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"FK","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"FO","2019","5,28991569767442e-7","0,0002938333212209303","0,04453909883720931","2,7448226744186034e-9","3,6932594476744193e-9","0,01931547965116279","0,0013699927325581396","0,000008546262313590114","0,012459011627906974"
"FJ","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"FI","2019","5,582452455099162e-7","0,0008183802493387056","0,03412798577962561","1,9544658651672537e-9","6,582609499640785e-9","0,03489537409520655","0,0017456265226929977","0,00002746390572756004","0,02903994822354045"
"FR","2019","9,255026993305592e-7","0,00015125594371176","0,04738205170752099","2,654134396132224e-9","3,4140019520379458e-9","0,016359131764435004","0,0019048533438616687","0,0000026677236707270706","0,008701140435212444"
"GF","2019","2,479663144204194e-7","0,00007256750121931392","0,03251476182734515","9,800263371809461e-10","1,8710112176881805e-9","0,01206198992033816","0,001057974313119818","7,73768022272801e-7","0,0034311103885547056"
"PF","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"GA","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"GM","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"GE","2019","1,7625394356782785e-7","0,00006974449425875883","0,029581439937188606","6,1939436966816e-10","1,7172708687710865e-9","0,011782506064806587","0,000992341769063466","7,509409559293787e-7","0,002929707143496461"
"DE","2019","0,000001588794109016569","0,0005545485092316491","0,058220069179390495","4,202213301686194e-9","6,743854046105599e-9","0,030170613963390894","0,002893573249533257","0,000016368825237363877","0,024398060847286202"
"GH","2019","6,557839422259979e-7","0,00024363857264231086","0,04091767204757858","2,0743398470688185e-9","3,503644859813082e-9","0,01828147833474936","0,0016140696686491077","0,000006420612681393369","0,010679617672047574"
"GI","2019","5,28991569767442e-7","0,0002938333212209303","0,04453909883720931","2,7448226744186034e-9","3,6932594476744193e-9","0,01931547965116279","0,0013699927325581396","0,000008546262313590114","0,012459011627906974"
