subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-TN,2019,3.69871e-8,0.0000332182,0.00361119,6.48187e-11,3.76889e-10,0.00229766,0.000163677,9.47389e-7,0.00118789
US-TN,2020,3.85228e-8,0.0000303752,0.00475242,7.84826e-11,4.0589e-10,0.00259216,0.00019434,7.79989e-7,0.0011016
US-TN,2021,3.78865e-8,0.0000283916,0.00399744,6.82047e-11,3.64185e-10,0.00227394,0.000172082,7.51323e-7,0.00103342
US-TN,2022,5.82758e-8,0.0000209184,0.0037512,7.00501e-11,3.31763e-10,0.00195392,0.000185109,4.72217e-7,0.000842845
US-TN,2023,7.76863e-8,0.0000221922,0.0039593,7.85281e-11,3.68113e-10,0.00207127,0.000215237,4.82595e-7,0.000935255
US-TN,2024,8.97862e-8,0.0000221761,0.00411236,8.45753e-11,3.86738e-10,0.00212436,0.000233878,4.59071e-7,0.000966985
US-TX,2019,1.68488e-7,0.0000192071,0.0137129,1.16436e-9,6.60132e-10,0.00273984,0.000267886,2.56878e-7,0.00176719
US-TX,2020,2.32447e-7,0.000022692,0.0159932,1.33466e-9,8.15904e-10,0.00330781,0.000367923,2.46796e-7,0.00213979
US-TX,2021,3.10463e-7,0.000026481,0.0177593,1.4447e-9,9.78736e-10,0.00387415,0.000491152,2.25967e-7,0.00251621
US-TX,2022,3.82615e-7,0.0000308456,0.0194612,1.55528e-9,1.13575e-9,0.00442774,0.000604913,2.38184e-7,0.00289807
US-TX,2023,4.28025e-7,0.0000317346,0.020296,1.60009e-9,1.21811e-9,0.00469467,0.00067617,1.80138e-7,0.00306202
US-TX,2024,5.41733e-7,0.0000382805,0.0233378,1.80493e-9,1.47291e-9,0.00560653,0.000856013,1.82384e-7,0.0036725
US-UT,2019,3.2189e-7,0.0000228309,0.00621044,3.04355e-10,6.9723e-10,0.00258111,0.00053108,1.53663e-7,0.0016866
US-UT,2020,3.96003e-7,0.0000274794,0.00722369,3.47094e-10,8.41862e-10,0.00307507,0.000649228,1.77817e-7,0.00203842
US-UT,2021,4.61606e-7,0.00003007,0.00766106,3.6352e-10,9.45699e-10,0.00334981,0.00074566,1.61267e-7,0.00228818
US-UT,2022,5.48778e-7,0.0000348201,0.00883278,4.03296e-10,1.11254e-9,0.00392829,0.000887018,1.59312e-7,0.00267137
US-UT,2023,6.52034e-7,0.000040854,0.0102763,4.68538e-10,1.3117e-9,0.00459827,0.00105036,1.78385e-7,0.00315106
US-UT,2024,9.98231e-7,0.0000567094,0.0152787,6.86048e-10,1.96007e-9,0.00676419,0.00160017,7.50407e-8,0.00461557
US-VA,2019,8.15897e-8,0.0000962142,0.00133956,6.32944e-11,7.11555e-10,0.00358076,0.0001997,0.00000327919,0.003351
US-VA,2020,9.70709e-8,0.0000842567,0.00163895,6.99224e-11,6.68274e-10,0.00329728,0.000218202,0.00000281515,0.0030031
US-VA,2021,2.18886e-7,0.000103001,0.00312708,1.36753e-10,9.65891e-10,0.00441809,0.000416364,0.00000326103,0.00394011
US-VA,2022,3.1037e-7,0.000112781,0.00427344,1.84473e-10,1.16526e-9,0.00513581,0.000563696,0.00000343904,0.00450254
US-VA,2023,3.42515e-7,0.000100395,0.00476956,1.98884e-10,1.14472e-9,0.00490834,0.000607315,0.00000292867,0.00418489
US-VA,2024,4.32452e-7,0.000097164,0.00584262,2.4233e-10,1.26212e-9,0.00518058,0.000742042,0.00000264573,0.00431919
US-VT,2019,6.31728e-7,0.00050198,0.0351729,1.63118e-9,4.86789e-9,0.02583,0.00174745,0.000015799,0.0187193
US-VT,2020,7.67491e-7,0.000570047,0.0362776,1.77504e-9,5.44748e-9,0.0282376,0.00196298,0.000018057,0.0213465
US-VT,2021,7.58384e-7,0.000623201,0.0349563,1.67284e-9,5.71977e-9,0.0297644,0.00198435,0.0000199948,0.0229838
US-VT,2022,8.03275e-7,0.000526442,0.0373014,1.84356e-9,5.25597e-9,0.0270354,0.00198609,0.000016423,0.0200605
US-VT,2023,8.38402e-7,0.00046604,0.037709,1.78714e-9,4.9598e-9,0.0253907,0.00201892,0.0000141568,0.0181431
US-VT,2024,8.71654e-7,0.000435535,0.0378037,1.73421e-9,4.82728e-9,0.0246023,0.00206076,0.0000129838,0.0171952
