period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
2024-06,6.94832e-7,0.0012444,0.212941,0.0000168668,0.00000860903,0.497998,0.00725287,0.00004204,0.0617104
2024-07,6.82256e-7,0.00123265,0.215507,0.0000160672,0.00000820358,0.504125,0.00730065,0.0000401481,0.0628103
2024-08,6.91435e-7,0.00124324,0.218094,0.0000159981,0.00000816914,0.510268,0.00736022,0.0000400786,0.0635828
2024-09,6.74365e-7,0.00126613,0.217787,0.0000168577,0.00000860555,0.509867,0.00731721,0.0000422393,0.0630141
2024-10,6.65607e-7,0.00126568,0.215348,0.0000172393,0.00000879873,0.503774,0.00727201,0.0000431152,0.0623674
2024-11,6.36786e-7,0.00128004,0.21883,0.0000172832,0.00000882184,0.512317,0.00731488,0.0000432416,0.0634703
2024-12,6.28818e-7,0.00127503,0.221723,0.0000168196,0.00000858731,0.516173,0.00733739,0.0000419479,0.0647704
2025-01,6.4661e-7,0.00126678,0.218334,0.0000169199,0.00000863726,0.509743,0.007348,0.0000423023,0.0639412
2025-02,6.62992e-7,0.00128392,0.21972,0.0000170802,0.00000871895,0.513248,0.00734105,0.0000430786,0.063646
2025-03,7.14536e-7,0.00125642,0.215761,0.0000172302,0.00000879449,0.500493,0.00729103,0.0000424594,0.0627816
2025-04,7.50818e-7,0.00125786,0.212296,0.0000176595,0.00000901161,0.493512,0.00726931,0.0000435829,0.0614319
2025-05,7.61433e-7,0.00124379,0.210598,0.0000174491,0.00000890439,0.489127,0.00723259,0.0000429526,0.0609059
2025-06,7.66423e-7,0.00123453,0.211375,0.0000168537,0.00000860215,0.491114,0.0072658,0.0000417477,0.0613137
