subdivision,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
US-GA,2023,6.17575e-7,0.000504724,0.127784,1.92217e-9,2.07788e-8,0.341394,0.010166,0.00000369998,0.0811527
US-GA,2024,5.18893e-7,0.000503079,0.124695,1.85806e-9,2.05442e-8,0.329076,0.010457,0.00000430986,0.085841
US-HI,2019,4.50398e-7,0.00469234,0.400324,5.63558e-9,3.70724e-8,0.843459,0.00654113,0.000191648,0.0523303
US-HI,2020,6.02585e-7,0.00451203,0.386372,0.00000253273,0.00000132068,0.809342,0.00651219,0.000185933,0.0508996
US-HI,2021,8.78205e-7,0.00459414,0.372916,0.0000476325,0.000024248,0.788064,0.00631651,0.000225924,0.0496587
US-HI,2022,9.15434e-7,0.00482102,0.371473,0.0000531067,0.0000270269,0.785405,0.00624509,0.00024369,0.0458354
US-HI,2023,0.0000011528,0.00519824,0.363727,0.000088404,0.000044966,0.773858,0.00608446,0.000293055,0.0404563
US-HI,2024,0.00000111224,0.0052473,0.361167,0.0000954697,0.0000485582,0.772663,0.00595993,0.000300667,0.0413668
US-IA,2019,5.32224e-7,0.000700339,0.216438,5.58264e-9,4.31044e-8,0.422919,0.00590452,8.71899e-7,0.0642517
US-IA,2020,5.62321e-7,0.000501533,0.171238,5.70582e-9,3.00448e-8,0.302852,0.00449076,7.75103e-7,0.0461963
US-IA,2021,5.90427e-7,0.000650072,0.209276,6.19178e-9,4.00279e-8,0.386533,0.0043955,7.6243e-7,0.0498764
US-IA,2022,6.105e-7,0.000514272,0.177556,6.10394e-9,3.11875e-8,0.307464,0.00382846,6.0139e-7,0.0408667
US-IA,2023,6.04202e-7,0.000500132,0.173455,5.85274e-9,2.9708e-8,0.311985,0.00411948,5.14588e-7,0.0411802
US-IA,2024,5.91903e-7,0.000422086,0.154699,5.88306e-9,2.44323e-8,0.261264,0.00364704,7.09824e-7,0.0352994
US-ID,2019,4.44447e-7,0.00026675,0.057233,0.0000123632,0.00000628859,0.118636,0.00313446,0.0000156594,0.0170745
US-ID,2020,4.65286e-7,0.00026712,0.0581816,0.0000121888,0.00000619996,0.119558,0.00317753,0.0000154491,0.017452
US-ID,2021,4.91349e-7,0.000291221,0.0637305,0.0000131357,0.00000668167,0.144797,0.00367968,0.0000165392,0.0203093
US-ID,2022,4.7704e-7,0.000278332,0.0604017,0.0000133685,0.00000679982,0.132333,0.00343796,0.000016558,0.0187887
US-ID,2023,5.87669e-7,0.000291952,0.0668275,0.0000100249,0.00000510042,0.156704,0.00408381,0.0000136125,0.0219431
US-ID,2024,3.61698e-7,0.000251735,0.0708556,1.77275e-9,4.66748e-9,0.178671,0.00431349,0.00000357839,0.0238573
US-IL,2019,4.02288e-7,0.000537273,0.159481,2.91783e-9,3.42865e-8,0.326045,0.0111486,5.86297e-7,0.109372
US-IL,2020,3.89546e-7,0.000403083,0.12504,2.45759e-9,2.51563e-8,0.251807,0.0112818,6.06069e-7,0.106045
US-IL,2021,4.19318e-7,0.000493752,0.149147,2.90722e-9,3.13975e-8,0.299067,0.0109338,5.96878e-7,0.106151
US-IL,2022,4.51777e-7,0.00045938,0.141174,2.91125e-9,2.92444e-8,0.276725,0.0107671,5.48604e-7,0.103648
US-IL,2023,4.46745e-7,0.000362884,0.116273,2.49146e-9,2.21812e-8,0.231709,0.0108998,5.46247e-7,0.100109
US-IL,2024,4.38106e-7,0.00034855,0.11317,2.55071e-9,2.16625e-8,0.217539,0.0108122,5.20797e-7,0.100116
US-IN,2019,4.54406e-7,0.00117519,0.325164,5.22903e-9,7.04727e-8,0.754173,0.00838273,0.00000153923,0.0906668
US-IN,2020,4.45244e-7,0.00109872,0.303226,4.91274e-9,6.38446e-8,0.714263,0.00832535,0.00000215877,0.0856919
US-IN,2021,4.7519e-7,0.00115968,0.319481,5.27298e-9,6.88723e-8,0.735284,0.00818225,0.00000206654,0.0884752
US-IN,2022,4.93467e-7,0.0010737,0.299093,5.04836e-9,6.3013e-8,0.693839,0.0080644,0.00000185323,0.0836175
US-IN,2023,5.24104e-7,0.000972355,0.272516,4.63596e-9,5.52081e-8,0.646001,0.00807263,0.00000198208,0.0779078
US-IN,2024,4.68368e-7,0.000981855,0.27515,4.69162e-9,5.58635e-8,0.651723,0.00801825,0.00000205146,0.0784112
US-KS,2019,5.36242e-7,0.000650318,0.204199,5.40989e-9,4.1536e-8,0.380584,0.00656753,5.28822e-7,0.071953
US-KS,2020,5.43896e-7,0.000598043,0.19161,5.35235e-9,3.82867e-8,0.347519,0.0064427,4.79405e-7,0.0697371
US-KS,2021,5.55209e-7,0.000657238,0.206479,5.65601e-9,4.16932e-8,0.378943,0.0060912,7.88797e-7,0.0679645
US-KS,2022,5.59383e-7,0.000612549,0.198864,5.65408e-9,3.96079e-8,0.360936,0.00589297,9.16093e-8,0.065125
US-KS,2023,5.43934e-7,0.000543081,0.179432,5.27615e-9,3.43677e-8,0.32468,0.00616623,3.18405e-7,0.0644598
US-KS,2024,5.61152e-7,0.000454818,0.159247,5.3987e-9,2.89545e-8,0.262976,0.00557499,3.66824e-7,0.0579948
US-KY,2019,4.41081e-7,0.00133925,0.367057,5.60546e-9,8.39114e-8,0.829727,0.00834761,8.19562e-7,0.0999012
US-KY,2020,4.28401e-7,0.00129003,0.353535,5.38735e-9,8.02437e-8,0.801888,0.00819466,9.66709e-7,0.0965081
US-KY,2021,4.37661e-7,0.001331,0.363739,5.55541e-9,8.31265e-8,0.821107,0.00825419,0.00000101783,0.0988904
US-KY,2022,4.29525e-7,0.00128856,0.352442,5.36293e-9,7.96625e-8,0.803576,0.00830211,0.00000112537,0.0967183
US-KY,2023,4.38374e-7,0.00129486,0.353057,5.38098e-9,7.99995e-8,0.801694,0.00822821,0.00000129815,0.0965274
US-KY,2024,4.34351e-7,0.00133223,0.357896,5.45353e-9,8.10569e-8,0.810438,0.00822782,0.00000240317,0.0972768
US-LA,2019,2.84255e-7,0.000641918,0.138718,1.80417e-9,1.59724e-8,0.423032,0.00955543,0.000011446,0.0666342
US-LA,2020,2.78457e-7,0.000595715,0.124759,1.5842e-9,1.22222e-8,0.39252,0.00973454,0.0000119534,0.0663963
US-LA,2021,2.96653e-7,0.000680532,0.140294,1.84799e-9,1.66743e-8,0.415807,0.00973541,0.0000132817,0.0698911
US-LA,2022,2.95664e-7,0.000631003,0.138928,1.81719e-9,1.62942e-8,0.420851,0.00968418,0.0000108717,0.0680989
US-LA,2023,2.91684e-7,0.000472019,0.123756,1.57285e-9,1.29077e-8,0.403948,0.0096105,0.00000502698,0.0639471
