country,year,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
BE,2020,6.20552e-7,0.000736628,0.0997689,2.75096e-7,1.47312e-7,0.220928,0.00963065,0.0000255023,0.0752179
BE,2021,6.12473e-7,0.000646967,0.0872239,7.74792e-8,4.63904e-8,0.175051,0.0104507,0.0000227215,0.0854778
BE,2022,7.28196e-7,0.000672628,0.0913027,7.69796e-9,1.09678e-8,0.185743,0.01017,0.0000234024,0.0808508
BE,2023,8.47943e-7,0.00075159,0.102225,8.50891e-7,4.40312e-7,0.196975,0.00923668,0.000027185,0.0714799
BE,2024,5.85286e-7,0.000648641,0.097091,0.00000140578,7.22142e-7,0.177705,0.00892449,0.0000236514,0.0727043
BF,2019,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BF,2020,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BF,2021,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BF,2022,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BF,2023,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BF,2024,5.00031e-7,0.0036291,0.331382,0.00000563601,0.00000289422,0.725794,0.00679463,0.000149475,0.0491254
BG,2019,5.61758e-7,0.000815119,0.228681,3.78847e-9,5.28679e-8,0.472415,0.0100969,4.63366e-7,0.107648
BG,2020,5.76478e-7,0.00072304,0.204084,4.64191e-8,6.84592e-8,0.416577,0.010178,5.84111e-7,0.105453
BG,2021,5.46984e-7,0.00077665,0.218923,3.63212e-9,5.01258e-8,0.452188,0.00963638,4.32909e-7,0.101824
BG,2022,5.79245e-7,0.000884288,0.247189,4.06665e-9,5.72873e-8,0.515087,0.00975073,4.21496e-7,0.105936
BG,2023,7.85443e-7,0.000664909,0.188712,1.063e-7,9.48999e-8,0.377937,0.0100691,5.40732e-7,0.10033
BG,2024,7.06832e-7,0.0005969,0.171002,6.4865e-7,3.65741e-7,0.343129,0.0102181,0.0000012354,0.0996392
BH,2019,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BH,2020,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BH,2021,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BH,2022,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BH,2023,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BH,2024,2.44547e-7,0.000449769,0.123308,2.93074e-9,8.72538e-9,0.44518,0.00918132,0.00000565916,0.0500423
BI,2019,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BI,2020,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BI,2021,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BI,2022,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BI,2023,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BI,2024,3.24247e-7,0.0018701,0.180674,0.00000315855,0.00000162187,0.37544,0.00399918,0.0000753791,0.0283285
BJ,2019,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
BJ,2020,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
BJ,2021,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
BJ,2022,4.68055e-7,0.00186433,0.260191,0.0000122709,0.00000627486,0.611724,0.00727768,0.0000656965,0.0606766
