subdivision,period,adpe,ap,ctue,ctuh-c,ctuh-nc,gwp,ir,pm,wu
CA-AB,2020-10,4.0490183309709847e-7,0.0011274246953609486,0.2242170515661128,0.0000021183475642014345,0.0000011158838850685873,0.5644567795543042,0.007674067852488481,0.000019293227216275925,0.06998352645272285
CA-BC,2020-10,1.1389760523228775e-7,0.0001437770525042603,0.04698652072968871,1.9416496061705795e-7,1.0331430272257841e-7,0.06137528455151119,0.001471398491629831,0.0000017641837804346097,0.00811316338092582
CA-YT,2020-10,7.806395974017384e-8,0.0001077652125679942,0.038609898112604416,1.241371587219934e-7,6.653200565654096e-8,0.04306291328108924,0.0012385898141103963,0.0000011285647245425028,0.005628895106134459
CA-NT,2020-10,2.871406629362547e-7,0.0007815869495023537,0.16078135703765345,0.0000014421203223866798,7.600705949240648e-7,0.38765170447489256,0.005489337566747617,0.000013134273915886246,0.04809967945260082
CA-NU,2020-10,3.9170211718365336e-7,0.0012439556868537665,0.24172623929098966,0.0000023471794928606603,0.0000012364281191531266,0.6242738552437224,0.008396930576070901,0.00002138215325947809,0.07690694239290989
CA-NL,2020-11,7.938894696252652e-8,0.00009984453905881872,0.037466517969950854,1.1287236041513898e-7,6.052032110277277e-8,0.03903461357968712,0.0011900237199264057,9.876454298022355e-7,0.0051667748555608945
CA-PE,2020-11,6.740573832197324e-7,0.00006403270063753201,0.07636282317266965,2.9333266117673917e-8,1.4968640925400076e-8,0.0181416298224497,0.0011017859013143468,2.0102412123538149e-7,0.008176094254765887
CA-NS,2020-11,4.089950855791295e-7,0.0010350200377256594,0.2101649623538525,0.000002013921892832167,0.0000010595212053368442,0.5177636822018873,0.0071072192496784365,0.000017659654387371447,0.06452767567487475
CA-NB,2020-11,3.2592514649910027e-7,0.0005216867890197016,0.11636122326941797,9.713083003355328e-7,5.128352102873729e-7,0.25351806361474655,0.00804157004258808,0.000008514766519620226,0.07222076752626114
CA-QC,2020-11,1.0731616551385739e-7,0.00005685214632223125,0.03276382297421898,2.472293562375054e-8,1.4080184977919319e-8,0.016846276831735004,0.0009277044220365952,2.1074452865431107e-7,0.0028133577802227296
CA-ON,2020-11,3.6086699006092164e-7,0.00011336302230533478,0.04463729538318454,1.3553573170149663e-7,7.459741248577749e-8,0.04195725115050396,0.008927356146278355,0.000001180430194698102,0.07934664520550135
CA-MB,2020-11,8.304208973760632e-8,0.00004850185449403518,0.029614958364671724,8.116983065797273e-9,5.412244223705833e-9,0.01265990168694937,0.0008701146254761599,6.701788433612442e-8,0.002096948766362231
CA-SK,2020-11,3.617231146098173e-7,0.0010430650225758881,0.2078838278483813,0.00000203115001717708,0.0000010687115299465034,0.5220908883803551,0.007146856722680902,0.000017815211495168124,0.0646013099708484
CA-AB,2020-11,4.1671389842073506e-7,0.0010896805204167318,0.21934975817412036,0.0000021251962914180177,0.0000011180297051477151,0.5457848856562356,0.007451004248606621,0.000018636595817059904,0.06789248998562113
